ticker,zip,sector,longBusinessSummary,city,phone,country,companyOfficers,website,maxAge,address1,fax,industry,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,address2,fullTimeEmployees,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid,state
B2H,0161,Financial Services,"B2Holding ASA provides debt solutions for banks and institutional vendors. The company's portfolio of business consists of purchase, management, and collection of unsecured and secured non-performing loans. It services include debt purchase and collection, credit information third party debt collection, and consumer lending, as well as telemarketing and fraud prevention services. It principally operates in Norway, Sweden, Denmark, Finland, Estonia, Latvia, Lithuania, Poland, Croatia, Slovenia, Serbia, Montenegro, Bosnia-Herzegovina, Austria, the Czech Republic, Hungary, Spain, Portugal, Italy, France, Bulgaria, Romania, Greece, and Cyprus. B2Holding SAS was founded in 2011 and is headquartered in Oslo, Norway.",Oslo,47 22 83 39 50,Norway,[],http://www.b2holding.no,1,Stortingsgaten 22,47 22 83 39 51,Credit Services,5.14,5.14,5.309486,0.087548636,7.5,,5.14,,1523324,,5.14,4.333286,0.45,5.14,,1523324,,,,,1590624000,1.55872,,,4.95,4,NOK,80.08065,949090,,,,2035317376,,,2094774,1.0131487,4.95,4.98,,27400,949090,10.32,2.2986112,,,3.3,4.94,False,,311700,5.14,OSL,B2HOLDING ASA,B2Holding ASA,Europe/Oslo,CEST,False,7200000,EQUITY,B2H.OL,finmb_23000545,no_market,,7.516,,0.01254,,-0.49108917,,2.16,,409932992,,,11.672,,,,1577750400,0.20291,25201000,0.062,,0.06933558,0.42537698,0.45931,1640908800,1585612800,,,275487004,15098298368,,,,,,-0.77,,,,,,,,https://logo.clearbit.com/b2holding.no,7th Floor,2517,,,,,
BOR,3712,Industrials,"Borgestad ASA develops, manufactures, distributes, and installs refractory products in Norway. The company also develops and manages real estate properties. Its properties include Agora Bytom, a shopping center with a gross area of 52,000 square meters and a rental area of approximately 30,000 square meters, as well as a parking garage with 820 parking spaces in Poland; and Borgestad Business Park, a rented commercial premises used for the storage, production, and offices. Borgestad ASA was founded in 1904 and is headquartered in Skien, Norway.",Skien,47 35 54 24 00,Norway,[],http://borgestad.no,1,Gunnar Knudsensveg 144,,Building Products & Equipment,17.4,17.1,14.019143,,0,,17.95,,29229,,17.4,12.805715,,17.1,,29229,,,,,1307664000,1.337209,,,17,2,NOK,,5814,,,,228266576,,,21892,0.2474201,17,17.55,,75000,5814,32,-4.243499,,,9.1,17.3,False,,75000,17.95,OSL,BORGESTAD ASA,Borgestad ASA,Europe/Oslo,CEST,False,7200000,EQUITY,BOR.OL,finmb_878193,no_market,,1.315,,-0.06982,23.11,0.011627793,,-4.23,,12716800,,,39.859,,,,1577750400,0,-64412000,-7.859,,0.06933558,0.45033744,0.88801,1640908800,1585612800,,,3609526,1213302016,,,,,,,,,,,,,,https://logo.clearbit.com/borgestad.no,,,,,,,
BDRILL,HM11,Energy,"Borr Drilling Limited operates as an offshore drilling contractor to the oil and gas industry worldwide. It owns, contracts, and operates jack-up rigs for operations in shallow-water areas, including the provision of related equipment and work crews to conduct oil and gas drilling and workover operations for exploration and production. The company serves oil and gas exploration and production companies, such as integrated oil companies, state-owned national oil companies, and independent oil and gas companies. As of December 31, 2019, it operated a fleet of 27 jack-up drilling rigs and one semi-submersible rig. The company was formerly known as Magni Drilling Limited and changed its name to Borr Drilling Limited in December 2016.Borr Drilling Limited was founded in 2016 and is based in Hamilton, Bermuda.",Hamilton,441 737 0152,Bermuda,[],http://www.borrdrilling.com,1,S.E. Pearman Building,,Oil & Gas Drilling,9.24,9.23,20.972385,,0,,9.23,,967294,,9.24,11.177143,,9.23,,967294,,,,,,3.891176,,,8.82,2,NOK,,686728,,,,1389202304,,,3999539,3.5961747,8.82,9.06,,0,686728,89.85,-63.214287,,,2.5995,8.985,False,,0,9.23,OSL,BORR DRILLING LTD,Borr Drilling Limited,Europe/Oslo,CEST,False,7200000,EQUITY,BDRILL.OL,finmb_412495516,no_market,,7.299,,-0.87678003,220.278,-0.89198035,,-0.14,,156972000,,,10.885,,,,1577750400,0.5864,-338700000,-3.117,,0.06933558,0.8130455,0.26895002,1640908800,1585612800,,,72422009,2819561472,,1561507200,1:5,,,,,,,,,,,https://logo.clearbit.com/borrdrilling.com,2nd Floor 9 Par-la-Ville Road,694,,,,,
CRAYON,0484,Technology,"Crayon Group Holding ASA, together with its subsidiaries, operates as an IT advisory company in software and digital transformation services. It operates through Software & Cloud Direct, Software & Cloud Channel, Software & Cloud Economics, and Consulting segments. The company offers license management and consultancy services; SAM as a Service, a single hosted managed service that enables its clients to control software and technology assets across their IT environment; and SAM-iQ, which provides a centralized program interface that allows its customers to analyze, review, and manage their SAM environment. It also provides software and cloud economic services, including license management and solutions across large and mid-market enterprises, public sector, and cloud and service provider markets, as well as deployment planning services. In addition, the company offers consulting services in the areas of cloud architecture and deployment solutions, licensing environment optimization and management, security, datacenter systems, infrastructure and networking, backup and data recovery, servers environments, and storage and virtualization solutions; and managed services, such as outsourced license lifecycle management, project management, audit simulation and support, and infrastructure management and support services. Further, it provides training, events, and development programs for IT professionals. It has operations in the Nordics, Europe, the Asia-Pacific, the Middle East and Africa, and the United States. The company is headquartered in Oslo, Norway.",Oslo,47 22 89 10 00,Norway,[],http://www.crayon.com,1,Sandakerveien 114A,,Information Technology Services,72.9,72.8,57.813572,,0,,72.8,,92268,,72.9,64.262856,,72.8,,92268,,,,,,1.336118,,,69.2,2,NOK,,172390,,,,5787093504,,,207590,0.38116527,69.2,71.2,,0,172390,74.6,66.63551,,,27.6,71,False,,0,72.8,OSL,CRAYON GROUP HLD,Crayon Group Holding ASA,Europe/Oslo,CEST,False,7200000,EQUITY,CRAYON.OL,finmb_46100086,no_market,,0.378,,-0.00343,33.031,1.0828571,,1.07,,81165400,,,8.798,,,,1577750400,,-52075000,-0.691,,0.06933558,8.104115,,1640908800,1585612800,,,34221159,5731699200,,,,,,,,,,,,,,https://logo.clearbit.com/crayon.com,,1500,,,,,
BWE,0277,Energy,"BW Energy Limited engages in the acquisition, exploration, development, and production of oil and natural gas in Africa. It primarily holds interests in three hydrocarbon licenses in Gabon, Brazil, and Namibia. The company was founded in 2016 and is based in Oslo, Norway.",Oslo,47 23 13 00 00,Norway,[],http://www.bwenergy.no,1,Drammensveien 151,47 23 13 00 01,Oil & Gas E&P,17.9,17.34,14.701555,,0,,17.7,,157517,,17.9,18.099142,,17.34,,157517,,,,,,,,,16.92,2,NOK,56.11651,164070,,,,4062831360,,,526440,14.386797,16.92,17.09,,,164070,25,,,,7.62,16.95,False,,,17.7,OSL,BW ENERGY LIMITED,BW Energy Limited,Europe/Oslo,CEST,False,7200000,EQUITY,BWE.OL,finmb_144579252,no_market,,12.304,,0.20538001,21.556,-0.2587992,,,,234304000,,,1.938,,,,1577750400,0.100880004,58000000,0.309,,0.06933558,8.947369,0.7214,1640908800,1585612800,,,56150662,3474752000,,,,,,,,,,,,,,https://logo.clearbit.com/bwenergy.no,,100,,,,,
BRA-ME,5014,Financial Services,"BRAbank ASA operates as a digital bank in Norway. It offers consumer finance, unsecured financing to private individuals, saving accounts, and credit cards, as well as payment insurance loans and payment solutions. The company was formerly known as Monobank ASA and changed its name to BRAbank ASA in June 2019. BRAbank ASA was founded in 2015 and is headquartered in Bergen, Norway.",Bergen,47 55 96 10 00,Norway,[],http://www.brabank.no,1,Starvhusgaten 4,,Banks—Regional,0.394,0.392,0.4285,,0,,0.392,,317657,,0.394,0.35331428,,0.392,,317657,,,,,,1.155172,,,0.392,4,NOK,,31999,,,,245360240,,,1065264,5.4075074,0.392,0.394,,,31999,2.26,,,,0.262,0.392,False,,,0.392,OSL,BRABANK ASA (NEW),BRAbank ASA,Europe/Oslo,CEST,False,7200000,EQUITY,BRA-ME.OL,finmb_316669435,no_market,,5.275,,-2.80288,,-0.76547617,,,,625918976,,,1.287,,,,1577750400,,-127178000,-0.203,,0.06933558,0.30458432,,1640908800,1585612800,,,348217271,239347728,,1583884800,0:1,,,,,,,,,,,https://logo.clearbit.com/brabank.no,,51,,,,,
CLOUD-ME,0273,Utilities,"Cloudberry Clean Energy AS operates as a renewable energy company. The company owns, develops, and operates hydropower plants and wind farms in Norway and Sweden. Cloudberry Clean Energy AS was founded in 2017 and is headquartered in Oslo, Norway.",Oslo,,Norway,[],http://www.cloudberry.no,1,FrOeyas Gate 15,,Utilities—Renewable,11.1,11.2,13.067507,,0,,11.2,,221917,,11.1,13.303943,,11.2,,221917,,,,,,,,,10.562,2,NOK,,255090,,,,,,,57267,,10.562,10.65,,,255090,19,,,,10.562,10.564,False,,,11.2,OSL,CLOUDBERRY CLEAN,Cloudberry Clean Energy AS,Europe/Oslo,CEST,False,7200000,EQUITY,CLOUD-ME.OL,finmb_657338383,no_market,,1556.192,,0,-166.835,-0.2599013,,,,,,,1.271,,,,1577750400,,-2609160,-0.687,,0.06933558,8.379229,,1640908800,,,,14542165,434829632,,,,,,,,,,,,,,https://logo.clearbit.com/cloudberry.no,,,,,,,
BMA,4701,Industrials,"Byggma ASA manufactures and supplies building materials to builders and retailers in the Nordic countries. It offers pre-painted ceilings and wall panels under the Huntonit brand name; I-beams for use in ceilings, walls, and floors in wood-based buildings under the brand name of Masonite; and particle boards, boards, and structural panels for use in buildings, pre painted ceilings, and wall panels under the Forestia brand name. The company also provides home lighting products under the Scan Lamps brand name; doors and windows for new buildings, extensions, or rehabilitation under the brand name of Uldal; a range of lamp and lighting products under the Aneta brand name; and develops, manufactures and distributes MDF panels for walls, ceilings, bathrooms, and kitchens under the brand name of Smartpanel. The company is headquartered in Vennesla, Norway.",Vennesla,47 38 13 71 00,Norway,[],http://www.byggma.no,1,Venneslaveien 233,,Building Products & Equipment,105,104,89.76071,0.00952381,0.1558,,105,,658,,105,96.24286,1,104,,658,,,,1,1590624000,0.569186,,,104,2,NOK,16.45768,450,,,,733102656,,,1518,0.3948766,104,105,,170100,450,105,,,3.08,66,100,False,0.0095,38900,105,OSL,BYGGMA ASA,Byggma ASA,Europe/Oslo,CEST,False,7200000,EQUITY,BMA.OL,finmb_9391774,no_market,,0.543,,0.024,6.4,0.12903225,,,,6981930,,,127.596,,,,1577750400,0.0602,44549000,6.38,,0.06933558,0.82290983,0.94914,1640908800,1585612800,,,325966,1007315008,,,,,,-0.177,,,,,,,,https://logo.clearbit.com/byggma.no,Postboks 21,,,,,,
EAM,0287,Utilities,"EAM Solar ASA acquires, owns, and operates solar power plants in Europe. The company sells electricity under long-term fixed price sales contracts. It owns and operates four power plants with a combined installed capacity of 4.0 MW in Italy. The company was founded in 2011 and is based in Oslo, Norway.",Oslo,47 91 61 10 09,Norway,[],http://www.eamsolar.no,1,Dronningen 1,,Utilities—Renewable,13.35,13.35,12.519929,,0,,13.35,,8617,,13.35,13.642858,,13.35,,8617,,,,,1399852800,0.667441,,,12.65,2,NOK,,15866,,,,89763952,,,13931,,12.65,12.9,,,15866,30.4,,,,6.66,12.8,False,,,13.35,OSL,EAM SOLAR ASA,EAM Solar ASA,Europe/Oslo,CEST,False,7200000,EQUITY,EAM.OL,finmb_142079547,no_market,,,,0.89206004,,-0.5232143,,,,6852210,,,2.096,,,,1577750400,0.28467,,-0.152,,0.06933558,6.2500005,0.42780998,1640908800,1585612800,,,4010941,91477000,,,,,,,,,,,,,,https://logo.clearbit.com/eamsolar.no,,,,,,,
BWO,HM11,Energy,"BW Offshore Limited builds, owns, and operates oil and gas floating production, storage, and offloading vessels (FPSOs); and floating, storage, and offloading vessels (FSOs) to the oil and gas industries in the Asia Pacific, the Americas, the European Union, and West Africa. It also offers engineering, procurement, construction, and installation services; and lease and operation services of FPSO units. As of March 8, 2016, the company had a fleet of 14 FPSOs and 1 FSO. It also operates additional two operations and maintenance contracts FPSOs and one new project FPSO. The company was founded in 1982 and is based in Hamilton, Bermuda.",Hamilton,,Bermuda,[],http://www.bwoffshore.com,1,Clarendon House,,Oil & Gas Equipment & Services,33.48,33.02,34.440422,,0,,33.2,,387893,,33.48,34.332,,33.02,,387893,,,,0.32,1591056000,2.864534,,,32.34,2,NOK,,335624,,,,7371274752,,,1066640,6.2457848,32.34,32.48,,,335624,69.212,,,,12.91,32.4,False,0.0094,,33.2,OSL,BW OFFSHORE LTD,BW Offshore Limited,Europe/Oslo,CEST,False,7200000,EQUITY,BWO.OL,finmb_26954576,no_market,,6.354,,-0.18548,11.131,-0.25377792,,0.68,,227648992,,,4.217,,,,1577750400,0.2165,-233200000,-1.184,,0.06933558,7.678445,0.50139,1640908800,1585612800,,,106798650,7498800128,,1480636800,1:50,,,,,,,,,,,https://logo.clearbit.com/bwoffshore.com,2 Church Street,2126,,,,,
BRG,1701,Basic Materials,"Borregaard ASA develops, produces, and sells biomaterials, biochemicals, and fine chemicals in Norway, rest of Europe, the United States, Asia, and internationally. It operates through three segments: BioSolutions, BioMaterials, and Fine Chemicals. The BioSolutions segment provides biopolymers that are used as binding and dispersing agents for a range of applications, such as construction, industrial binders, agrochemicals, and batteries; and biovanillin for flavor and fragrance companies, as well as for the food and beverage industry. This segment also engages in chemicals trading activities. The BioMaterials segment offers specialty cellulose for use as a raw material in the production of cellulose ethers, cellulose acetate, and other specialty products, as well as provides cellulose fibrils for industrial applications. The Fine Chemicals segment provides pharma intermediates and bioethanol. Borregaard ASA was incorporated in 2012 and is headquartered in Sarpsborg, Norway.",Sarpsborg,47 69 11 80 00,Norway,[],http://www.borregaard.com,1,Hjalmar Wessels vei 6,47 69 11 87 70,Specialty Chemicals,122,123,97.39714,0.01885246,0.6183,,123,,183779,,122,103.92286,2.3,123,,183779,,,,2.3,1592265600,-0.049418,,,120,2,NOK,32.51073,160299,,,,12070695936,,,89563,2.3199494,120,120.8,,721000,160299,123,22.654205,,,75,120.8,False,0.0189,391200,123,OSL,BORREGAARD ASA,Borregaard ASA,Europe/Oslo,CEST,False,7200000,EQUITY,BRG.OL,finmb_216329283,no_market,,2.777,,0.0715,14.362,0.25902987,,5.35,,99593200,,,29.38,,,,1577750400,0.56839,372000000,3.728,,0.06933558,4.125255,0.07204,1640908800,1593475200,,,91484295,14448366592,,,,,,-0.172,,,,,,,,https://logo.clearbit.com/borregaard.com,PO Box 162,1103,,,,,
DNO,0250,Energy,"DNO ASA engages in the exploration, development, and production of oil and gas assets in the Middle East and the North Sea. Its flagship project is the Tawke field that is located in the Kurdistan region of Iraq. As of December 31, 2019, its proven reserves consisted of 205.6 million barrels of oil equivalent (MMboe); proven and probable reserves included 344.8 MMboe; and proven, probable, and possible reserves consisted of 539.9 MMboe. The company was founded in 1971 and is headquartered in Oslo, Norway.",Oslo,47 23 23 84 80,Norway,[],http://www.dno.no,1,Dokkveien 1,47 23 23 84 81,Oil & Gas E&P,6.186,6.12,6.1431985,0.0071128355,,,6.132,,4991947,,6.186,6.1590285,0.044,6.12,,4991947,,,,0.4,1571961600,1.921511,,,5.946,2,NOK,,4499692,,,,5893565952,,,9503014,6.0577307,5.946,6.016,,728400,4499692,15.435,18.30909,,,2.5,6.018,False,0.0644,162000,6.132,OSL,DNO ASA,DNO ASA,Europe/Oslo,CEST,False,7200000,EQUITY,DNO.OL,finmb_878127,no_market,,6.853,,-0.01747,14.796,-0.5794698,,0.33,,975433024,,,1.002,,,,1577750400,0.14917,-17000000,-0.019,,0.06933558,6.02994,0.40448,1640908800,1585612800,,,537248428,6667071488,,1150416000,4:1,,,,,,,,,,,https://logo.clearbit.com/dno.no,Aker Brygge,1318,,,,,
COV,111 22,Healthcare,"ContextVision AB (publ), a medical technology software company, provides image analysis and artificial intelligence software solutions to original equipment manufacturers worldwide. It operates through two segments, Medical Imaging and Digital Pathology. The company offers image enhancement software for 2D/3D/4D ultrasound, radiography, magnetic resonance imaging (MRI), and mammography. Its products include US PLUSView, an image enhancement software product for women's health, general imaging, cardiovascular, and point of care applications; VolarView, an image enhancement software for the handheld ultrasound market segment; GOPiCE, a technology for volumetric image enhancement in real-time; and REALiCE, a volumetric image enhancement and rendering solution for visualization. The company also provides Altumira/Altumira Plus, a solution for various digital radiography systems; GOPView XR2Plus for x-ray systems for human and veterinary examinations; and Orthopedic Package for orthopedic imaging. In addition, it offers GOPView MRI2Plus, an image enhancement solution for MRI; GOPView Mammo3, an image enhancement software for screening and diagnostic mammography; and INIFY Prostate, an AI-based software that outlines and quantifies suspected cancerous areas in a series of prostate biopsies. ContextVision AB (publ) was founded in 1983 and is headquartered in Stockholm, Sweden.",Stockholm,46 87 50 35 50,Sweden,[],http://www.contextvision.com,1,Klara Norra Kyrkogata 31,,Health Information Services,255,253,135.08858,,0,,253,,14805,,255,228.62857,,253,,14805,,,,,1212969600,1.298837,,,233,2,NOK,,19538,,,,1887767040,,,20999,,233,245,,140000,19538,309,938.46155,,,50.5,241,False,,140000,253,OSL,CONTEXTVISION AB,ContextVision AB (publ),Europe/Oslo,CEST,False,7200000,EQUITY,COV.OL,finmb_786673,no_market,,,,0.1275,,2.4,,0.26,,7736750,,,0.808,,,,1577750400,0.08879,,-0.033,,0.06933558,301.9802,0.7414,1640908800,1585612800,,,2043430,1972871296,,,,,,1.757,,,,,,,,https://logo.clearbit.com/contextvision.com,,46,,,,,
EIOF,5443,Energy,"Eidesvik Offshore ASA operates as a shipping company. It operates through Seismic, Subsea/Offshore Wind, Platform Supply, and Other segments. The company delivers shipping services to customers who produce seismic data; subsea inspection, maintenance, repair, and construction services for subsea work in the oil industry; and shipping services the offshore oil industry. It operates 6 large supply and one smaller supply vessels; a fleet of 4 vessels related to seismic; and a fleet of 4 vessels related to subsea/wind. The company is headquartered in BÃ¸mlo, Norway. Eidesvik Offshore ASA is a subsidiary of Eidesvik Invest AS.",Bomlo,47 53 44 80 00,Norway,[],http://www.eidesvik.no,1,Vestvikveien 1,,Oil & Gas Equipment & Services,3.28,3.26,4.1605,,0,,3.36,,3321,,3.28,3.3617144,,3.26,,3321,,,,,1400198400,0.780232,,,3.2,4,NOK,,10985,,,,206338000,,,15298,0.3362361,3.2,3.28,,,10985,6.12,,,,3.08,3.2,False,,,3.36,OSL,EIDESVIK OFFSHORE,Eidesvik Offshore ASA,Europe/Oslo,CEST,False,7200000,EQUITY,EIOF.OL,finmb_22071229,no_market,,3.55,,-1.10569,13.018,-0.44027305,,,,62150000,,,10.307,,,,1577750400,0.05849,-678529984,-10.921,,0.06933558,0.3221112,0.7988,1640908800,1585612800,,,12191344,2178586880,,,,,,,,,,,,,,https://logo.clearbit.com/eidesvik.no,,514,,,,,
CARA,,Healthcare,"Carasent ASA provides cloud-based medical record services to the private and public health care industry in Nordic region. The company develops Webdoc, a cloud based EMR-system; and develops a digital platform for interactive health care to communicate through video, tele and health meetings, chat, and other online channels. It also provides training and consulting services. The company was formerly known as Apptix ASA and changed its name to Carasent ASA in May 2019. The company was founded in 1997 and is based in Oslo, Norway.",Oslo,,Norway,[],http://carasent.com,1,c/o Advokatsenteret Kristian,,Health Information Services,21,21,14.834143,,0,,21,,30255,,21,19.785715,,21,,30255,,,,,1525996800,0.407558,,,19.6,2,NOK,348.33334,91827,,,,849246400,,,81980,16.181362,19.6,20.7,,,91827,22,,,,7.24,20.4,False,,,21,OSL,CARASENT ASA,Carasent ASA,Europe/Oslo,CEST,False,7200000,EQUITY,CARA.OL,finmb_4222700,no_market,,16.458,,0.04868,103.866,1.4305553,,,,40633800,,,2.482,,,,1577750400,0.05599,2555000,0.06,,0.06933558,8.420628,0.62675,1640908800,1585612800,,,15670096,863753024,,1558569600,1:4,,,-0.629,,,,,,,,https://logo.clearbit.com/carasent.com,Augusts gate 14,,,,,,
DOF,5392,Energy,"DOF ASA, together with its subsidiaries, owns and operates a fleet of offshore vessels worldwide. The company operates through three segments: Platform Supply Vessel (PSV), Anchor Handling Tug Supply Vessel (AHTS), and Subsea Vessel and Subsea Engineering. It operates a fleet of PSVs that are used to transport oilfield products and supplies to offshore drilling and production facilities; AHTS used to set anchors for drilling rigs, and tow mobile drilling rigs and equipment from one location to another; and subsea vessels used for a range of subsea services. The company also provides subsea services comprising project management, engineering, construction and installation, life-of-field, decommissioning/field abandonment, and survey and positioning, as well as inspection, repair, and maintenance services. In addition, it offers marine management services, such as crewing, chartering, mobilization, maintenance, refurbishment, projects and new building, and compliance services. As of December 31, 2019, the company operated a fleet of 67 vessels, including 16 PSVs, 20 AHTSs, and 31 subsea/construction vessels, as well as 72 remote operated vehicles and 2 autonomous underwater vehicles. It operates in Brazil, the United Kingdom, Australia, Norway, Canada, the United States, Guyana, the Philippines, Angola, Argentina, and internationally. The company was founded in 1981 and is headquartered in StorebÃ¸, Norway.",Storebo,47 56 18 10 00,Norway,[],http://www.dof.no,1,Alfabygget,47 56 18 10 06,Oil & Gas Equipment & Services,0.579,0.59,0.94375,,0,,0.59,,192637,,0.579,0.60742855,,0.59,,192637,,,,,1242432000,1.961627,,,0.572,4,NOK,,164749,,,,176963728,,,724751,0.026707476,0.572,0.582,,4700000,164749,3.8,0.6764706,,,0.5,0.574,False,,1357000,0.59,OSL,DOF ASA,DOF ASA,Europe/Oslo,CEST,False,7200000,EQUITY,DOF.OL,finmb_884333,no_market,,2.975,,-0.97329,10.203,-0.8476316,,0.85,,307763008,,,-1.283,,,,1577750400,0.04079,-6448999936,-20.38,,0.06933558,,0.57965,1640908800,1585612800,,,110942327,19712194560,,1527206400,1:10,,,,,,,,,,,https://logo.clearbit.com/dof.no,,3440,,,,,
EMGS,7041,Energy,"Electromagnetic Geoservices ASA, together with its subsidiaries, provides electromagnetic (EM) surveying services to the offshore oil and gas exploration industry. It is involved in the planning, acquisition, processing, modelling, interpretation, and integration of EM data. The company uses its patented electromagnetic survey method to find hydrocarbons in offshore reservoirs. Its products and services include imaging and interpretation, consultancy, magnetotelluric survey, training, and controlled-source electromagnetic surveying services. Electromagnetic Geoservices ASA has operations in Europe, the Middle East, Africa, Norway, North and South America, Asia, and the Pacific Ocean. The company was founded in 2002 and is headquartered in Trondheim, Norway.",Trondheim,,Norway,[],http://www.emgs.com,1,Stiklestadveien 1,,Oil & Gas Equipment & Services,0.804,0.771,1.0725785,,0,,0.771,,202724,,0.804,0.8169714,,0.771,,202724,,,,,,2.641279,,,0.736,4,NOK,9.085365,312687,,,,97572648,,,541948,1.1180292,0.736,0.748,,,312687,3.05,,,,0.5,0.74,False,,,0.771,OSL,ELECTROMAGNETIC GE,Electromagnetic Geoservices ASA,Europe/Oslo,CEST,False,7200000,EQUITY,EMGS.OL,finmb_10654493,no_market,,1.551,,0.13095,3.597,-0.71888113,,,,130970000,,,0.049,,,,1577750400,0.01382,11428000,0.082,,0.06933558,15.2040825,0.59531,1640908800,1585612800,,,54838319,135349632,,1467331200,1:40,,,,,,,,,,,https://logo.clearbit.com/emgs.com,,131,,,,,
BON,0152,Industrials,"Bonheur ASA, together with its subsidiaries, engages in the renewable energy, shipping/offshore wind, and cruise businesses primarily in Norway and internationally. The company's Renewable Energy segment develops, constructs, and operates wind farms with an installed capacity of 679 MW. Its Shipping/Offshore Wind segment owns and operates three self-propelled jack-up vessels for the transportation, installation, and service of offshore wind turbines. The company's Cruise segment owns and operates four cruise ships with an overall berth capacity of approximately 3,700 passengers, as well as operates river cruise vessel. Its Other Investments segment offers publications; PR software services; and software as a service-based Web and social monitoring solutions for small and medium businesses to leverage and understand online data. Bonheur ASA was incorporated in 1897 and is headquartered in Oslo, Norway.",Oslo,47 22 34 10 00,Norway,[],http://www.bonheur.no,1,Fred. Olsens gate 2,,Conglomerates,214,212.5,197.46643,0.02009346,,,214,,37189,,214,227.12857,4.3,212.5,,37189,,,,4.3,1590624000,0.888372,,,212,2,NOK,,13482,,,,9059294208,,,52044,1.231758,212,212.5,,50900,13482,244.5,,,2.75,134,212.5,False,0.0201,100000,214,OSL,BONHEUR ASA,Bonheur ASA,Europe/Oslo,CEST,False,7200000,EQUITY,BON.OL,finmb_878177,no_market,,1.86,,-0.0892,16.574,0.18232048,,,,42531900,,,142.862,,,,1577750400,0.23837,-656028032,-15.424,,0.06933558,1.4909493,0.53275,1640908800,1593475200,,,19852186,13676425216,,1149120000,4:1,,,,,,,,,,,https://logo.clearbit.com/bonheur.no,,3935,,,,,
BWLPG,117438,Industrials,"BW LPG Limited, an investment holding company, engages in shipowning and chartering activities worldwide. It operates through three segments: Very Large Gas Carriers (VLGCs), Large Gas Carriers (LGCs), and Product Services. The company is involved in the transportation of liquefied petroleum gas to oil companies, and trading and utility companies; and product trading and delivery activities. As of February 28, 2020, it had a fleet of 47 vessels, including 35 owned VLGCs, 10 chartered VLGCs, and 2 owned and operated VLGCs by a joint venture with a total carrying capacity of approximately 3 million cubic meters. The company was formerly known as BW Gas LPG Holding Limited and changed its name to BW LPG Limited in September 2013. BW LPG Limited was founded in 1935 and is headquartered in Singapore.",Singapore,65 6705 5588,Singapore,[],http://www.bwlpg.com,1,10 Pasir Panjang Road,65 6570 6056,Marine Shipping,36.6,35.5,43.100643,0.028688524,0.3116,,36.44,,839143,,36.6,30.853144,1.05,35.5,,839143,,,,10.16,1591056000,1.538953,,,34.8,2,NOK,13.372477,1067122,,,,5032253952,,,922665,5.2997203,34.8,36.38,,406100,1067122,85,173.5238,,,26,36.36,False,0.29,63000,36.44,OSL,BW LPG LTD,BW LPG Limited,Europe/Oslo,CEST,False,7200000,EQUITY,BWLPG.OL,finmb_246740269,no_market,,6.492,,0.39815,13.529,-0.120615125,,0.21,,138096992,,,8.358,,,,1577750400,0.31128,378060000,2.725,,0.06933558,4.3598948,0.45400003,1640908800,1585612800,,,70321032,6164396032,,,,,,,,,,,,,,https://logo.clearbit.com/bwlpg.com,"No. 17-02, Mapletree Business City",2004,,,,,
