ticker,52WeekChange,SandP52WeekChange,annualHoldingsTurnover,annualReportExpenseRatio,beta,beta3Year,bookValue,category,dateShortInterest,earningsQuarterlyGrowth,enterpriseToEbitda,enterpriseToRevenue,enterpriseValue,fiveYearAverageReturn,floatShares,forwardEps,forwardPE,fundFamily,fundInceptionDate,heldPercentInsiders,heldPercentInstitutions,lastCapGain,lastDividendValue,lastFiscalYearEnd,lastSplitDate,lastSplitFactor,legalType,maxAge,morningStarOverallRating,morningStarRiskRating,mostRecentQuarter,netIncomeToCommon,nextFiscalYearEnd,pegRatio,priceHint,priceToBook,priceToSalesTrailing12Months,profitMargins,revenueQuarterlyGrowth,sharesOutstanding,sharesPercentSharesOut,sharesShort,sharesShortPreviousMonthDate,sharesShortPriorMonth,shortPercentOfFloat,shortRatio,threeYearAverageReturn,totalAssets,trailingEps,yield,ytdReturn
B2H,-0.21033657,0.28336716,,,0.958165,,10.053,,,0.138,,7.545,15604083712,,278327837,2.16,,,-,,,,,1546214400,-,,,1,,,1569801600,173246000,1609372800,,2,0.9504625,,0.08377,,409932992,,,-,,,,,,0.416,,
ALNG,-0.34705883,0.28336716,,,0.448109,,0.774,,,,88.604,21.673,672330560,,47926927,0.11,,,-,,,,,1546214400,-,,,1,,,1569801600,-14155000,1609372800,,4,4.134367,,-0.45630002,,132549000,,,-,,,,,,-0.11,,
BAKKA,0.51351976,0.28336716,,,-0.220434,,13.119,,,-0.492,,,32038289408,,41436844,31.33,,,-,,,,,1546214400,-,,,1,,,1569801600,,1609372800,,2,49.54646,,0.15745,,59142100,,,-,,,,,,3.037,,
BEL,0.45419872,0.28336716,,,0.320997,,0.718,,,,61.812,11.625,1686900096,,34264108,0.08,,,-,,,,,1546214400,-,,,1,,,1569801600,15981000,1609372800,,2,10.097493,,0.11013,,211676992,,,-,,,,,,0.085,,
BGBIO,-0.13669062,0.28336716,,,0.898617,,4.526,,,,-6.123,108.721,1197774976,,33387518,-3.85,,,-,,,,,1546214400,-,,,1,,,1569801600,-192764992,1609372800,,2,5.3800263,,0,,61076600,,,-,,,,,,-3.499,,
BALT-ME,-0.07999301,0.28336716,,,1.171516,,31.615,,,,9.464,7.514,496166688,,4003357,,,,-,,,,,1546214400,-,,,1,,,1561852800,-19595392,1609372800,,2,0.9172861,,-0.29674,,6643370,,,-,,,,,,-2.939,,
BON,1.1268656,0.28336716,,,0.409493,,140.915,,,,6.94,1.546,12050446336,,19787538,,,,-,,,,,1546214400,2006-06-01,1/4,,1,,,1569801600,-120820000,1609372800,,2,1.4121989,,0.00765,,42531900,,,-,,,,,,1.403,,
BSP-ME,-0.64042246,0.28336716,,,-11.622469,,11.848,,,,,,119365848,,2090193,,,,-,,,,,1546214400,2019-07-31,25/1,,1,,,1561852800,-5917000,1609372800,,2,0.49375424,,0,,9180540,,,-,,,,,,-2.682,,
BOR,0.36842108,0.28336716,,,0.86082,,56.58,,,0.335,16.456,1.32,1154920960,,1928402,-4.23,,,-,,,,,1546214400,-,,,1,,,1569801600,5430000,1609372800,,2,0.35348177,,0.0062,,12689200,,,-,,,,,,0.904,,
BIOTEC,0.24324322,0.28336716,,,0.279163,,0.949,,,,-26.2,2.804,225213696,,31360503,-0.04,,,-,,,,,1546214400,-,,,1,,,1569801600,-9279000,1609372800,,4,5.0052686,,-0.11554,,48334700,,,-,,,,,,-0.209,,
BOUVET,0.96938777,0.28336716,,,0.339501,,25.959,,,0.669,16.687,1.957,4067749888,,7570069,13.84,,,-,,,,,1546214400,-,,,1,,,1569801600,179084000,1609372800,,2,14.946647,,0.08614001,,10249500,,,-,,,,,,17.352,,
BDRILL,-0.2959091,0.28336716,,,1.699,,12.188,,,,-239.657,33.667,9921798144,,72494041,-0.14,,,-,,,,,1546214400,2019-06-26,5/1,,1,,,1569801600,-347800000,1609372800,,2,6.2159505,,-1.18018,,110818000,,,-,,,,,,-3.264,,
BRA-ME,-0.9631111,0.28336716,,,1.116582,,1.69,,,,,0.501,101887584,,345199109,,,,-,,,,,1546214400,-,,,1,,,1569801600,6903000,1609372800,,4,0.27337277,,0.033940002,,495919008,,,-,,,,,,0.014,,
BRG,0.26958823,0.28336716,,,-0.187449,,31.567,,,0.031,11.7,2.301,11617908736,,91206847,5.35,,,-,,,,,1546214400,-,,,1,,,1569801600,459000000,1609372800,,2,3.009472,,0.09093001,,99633200,,,-,,,,,,4.596,,
BWLPG,1.886337,0.28336716,,,1.191472,,7.526,,,,48.591,16.452,11691993088,,75043507,0.21,,,-,,,,,1546214400,-,,,1,,,1569801600,86150000,1609372800,,2,9.812649,,0.12123,,138618000,,,-,,,,,,0.606,,
CARA,Infinity,0.28336716,,,0.223652,,2.115,,,3.717,39.407,8.953,390681856,,13241402,,,,-,,,,,1546214400,2019-05-23,4/1,,1,,,1569801600,608000,1609372800,,2,4.6146574,,0.01393,,40633800,,,-,,,,,,0.015,,
BMA,0.32352936,0.28336716,,,0.331456,,120.319,,,0.121,5.879,0.495,896576000,,371149,,,,-,,,,,1546214400,-,,,1,,,1569801600,61985000,1609372800,,2,0.764634,,0.03422,,6983320,,,-,,,,,,8.769,,
BWO,1.0062015,0.28336716,,,2.00724,,5.672,,,-0.575,19.925,12.269,13556799488,,88703800,,,,-,,,,,1546214400,2016-12-02,50/1,,1,,,1569801600,82800000,1609372800,,2,11.636107,,0.07493,,184998000,,,-,,,,,,0.447,,
DNB,0.17392862,0.28336716,,,0.826226,,145.608,,,0.068,,18.007,984198021120,,899998374,14.88,,,-,,,,,1546214400,-,,,1,,,1569801600,25838999552,1609372800,,2,1.1263118,,0.48754,,1570680064,,,-,,,,,,16.074,,
CRAYON,2.25,0.28336716,,,1.492343,,7.898,,,,28,0.372,4544006144,,30143187,1.07,,,-,,,,,1546214400,-,,,1,,,1569801600,25424000,1609372800,,2,6.5839453,,0.00208,,76550000,,,-,,,,,,0.329,,
COV,0.875,0.28336716,,,0.504424,,0.808,,,8.632,,,804622016,,2063546,0.26,,,-,,,,,1546214400,-,,,1,,,1569801600,,1609372800,,2,128.71286,,0.14269,,7736750,,,-,,,,,,-0.033,,
DAT,1.1300728,0.28336716,,,0.645213,,13.198,,,0.632,17.783,2.097,3735851520,,65820210,1.85,,,-,,,,,1546214400,-,,,1,,,1569801600,106072000,1609372800,,2,3.6293378,,0.05954,,75510496,,,-,,,,,,1.626,,
DNO,-0.12317163,0.28336716,,,0.778761,,1.108,,,,18.17,11.789,12561137664,,582303572,0.33,,,-,,,,,1546214400,2006-06-16,1/4,,1,,,1569801600,252900000,1609372800,,2,10.442238,,0.23735,,989313984,,,-,,,,,,0.24,,
DOF,-0.45371777,0.28336716,,,2.21802,,5.291,,,,13.59,3.345,20480393216,,113163894,0.85,,,-,,,,,1546214400,2018-05-25,10/1,,1,,,1569801600,-2596999936,1609372800,,4,0.2967303,,-0.42414,,307763008,,,-,,,,,,-8.632,,
EAM,-0.6632353,0.28336716,,,-0.098954,,,,,4.336,,,80170856,,4395556,,,,-,,,,,1546214400,-,,,1,,,1569801600,,1609372800,,2,,,-0.0078,,6852210,,,-,,,,,,,,
EIOF,0.14473677,0.28336716,,,0.656476,,21.423,,,,12.459,3.93,2457416960,,12763124,-4.58,,,-,,,,,1546214400,-,,,1,,,1569801600,-134814000,1609372800,,2,0.24459691,,-0.2156,,62150000,,,-,,,,,,-2.173,,
ELK,0.120146275,0.28336716,,,,,22.265,,,-0.775,6.801,0.869,20430243840,,239174328,4.4,,,-,,,,,1546214400,-,,,1,,,1569801600,1211000064,1609372800,,2,1.1120594,,0.05154,,581310016,,,-,,,,,,2.082,,
EMGS,0.44781148,0.28336716,,,2.122284,,-0.016,,,,20.894,4.928,323150656,,54446720,-0.08,,,-,,,,,1546214400,2016-07-01,40/1,,1,,,1569801600,-10103000,1609372800,,4,,,-0.15408,,130970000,,,-,,,,,,-0.077,,
ELE,-0.54230773,0.28336716,,,4.456958,,0.727,,,,-23.138,437.643,86653248,,11649816,,,,-,,,,,1546214400,2019-04-25,20/1,,1,,,1569801600,-10651000,1609372800,,2,7.6066027,,0,,18577000,,,-,,,,,,-0.897,,
EMAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPIC-ME,Infinity,0.28336716,,,0.24296,,2.773,,,,50.588,11.263,1885059968,,47814364,,,,-,,,,,1546214400,-,,,1,,,1569801600,-3849294,1609372800,,2,5.265056,,-0.023,,106600000,,,-,,,,,,-0.036,,
ENDUR,Infinity,0.28336716,,,,,1.341,,,,-4.225,0.779,174398528,,,,,,-,,,,,1514678400,-,,,1,,,1569801600,-71628000,1577750400,,4,0.8687547,,-0.32004002,,213091008,,,-,,,,,,-0.762,,
ENTRA,0.21901536,0.28336716,,,0.316975,,118.793,,,0.331,21.048,18.458,47399149568,,126304938,7.24,,,-,,,,,1546214400,-,,,1,,,1569801600,2752999936,1609372800,,2,1.2206106,,1.0720401,,182108992,,,-,,,,,,15.115,,
EQNR,-0.044703305,0.28336716,,,0.790828,,12.311,,,,25.161,8.59,598990520320,,1052130450,2.23,,,-,,,,,1546214400,2006-05-10,1/5,,1,,,1569801600,5445000192,1609372800,,2,14.255544,,0.07808,,3305009920,,,-,,,,,,1.635,,
FJORD,-0.18409085,0.28336716,,,0.896709,,22.66,,,-0.406,9.283,2.752,7548247040,,25167228,3.51,,,-,,,,,1546214400,-,,,1,,,1569801600,348492992,1609372800,,2,1.6151809,,0.12706,,99909600,,,-,,,,,,3.485,,
FKRAFT,0.657817,0.28336716,,,,,8.497,,,0.303,12.391,0.767,5562215424,,69878710,,,,-,,,,,1546214400,-,,,1,,,1569801600,315863008,1609372800,,2,6.8259387,,0.04354,,104496000,,,-,,,,,,2.986,,
FLNG,-0.23918372,0.28336716,,,0.110521,,15.168,,,-0.603,81.49,53.835,5602827264,,29379883,0.14,,,-,,,,,1546214400,2019-03-11,10/1,,1,,,1569801600,8349000,1609372800,,2,5.99288,,0.08022001,,54110600,,,-,,,,,,0.15,,
EPR,0.49210536,0.28336716,,,0.688976,,10.224,,,0.399,14.343,1.546,9548112896,,158249198,2.59,,,-,,,,,1546214400,-,,,1,,,1569801600,387220992,1609372800,,2,3.3744133,,0.06272,,165819008,,,-,,,,,,2.398,,
