ticker,industry,sector,companyOfficers,maxAge,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,fullTimeEmployees,zip,longBusinessSummary,city,phone,country,website,address1,fax,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid,address2
ULTIMO,Biotechnology,Healthcare,[],1,43.5,43.5,43.11095,,0,,44,,15630,,43.5,42.111763,,43.5,,15630,,,,,,,,,42.1,2,NOK,,17289,,,,1390847232,,,27169,,42.1,43.5,,,17289,76,,,,26,42.9,False,,,44,OSL,ULTIMOVACS ASA,Ultimovacs ASA,Europe/Oslo,CEST,False,7200000,EQUITY,ULTIMO.OL,finmb_241624822,no_market,,,,0,-10.554,,,,,31973500,,,15.06,,,,1577750400,0.28587,-76780000,-2.966,,,2.888446,0.47478,1640908800,1585612800,,,15791553,862077568,,,,,,,,,,,,,,https://logo.clearbit.com/ultimovacs.com,19,0379,"Ultimovacs ASA, a pharmaceutical company, develops immunotherapies for various cancers. The company engages in performing a clinical development program with clinical trials in Europe and the United States. Its lead product candidate is UV1, a peptide-based vaccine, which completed Phase I clinical trial that induces T cell response against the universal cancer antigen telomerase. The company was founded in 2011 and is headquartered in Oslo, Norway.",Oslo,47 41 38 00 80,Norway,http://www.ultimovacs.com,Ullernchausseen 64,,,,,920d6ba7-6524-3ff3-bb26-c3e0e6f49e46,
TRE,Asset Management,Financial,[],1,11.55,11.5,11.060803,0.003982684,0.158,,11.7,,13071,,11.55,10.889706,0.046,11.5,,13071,,,,0.4,1584057600,1.192926,,,11.3,2,NOK,52.954544,38868,,,,2502827776,,,15019,183.11588,11.3,11.65,,387700,38868,15,,,,7.5,11.45,False,0.0346,82400,11.7,OSL,TREASURE ASA,Treasure ASA,Europe/Oslo,CEST,False,7200000,EQUITY,TRE.OL,finmb_20576757,no_market,,183.397,,3.4989002,,-0.1412639,,,,214835008,,,2.592,,,,1577750400,0.17005,47823000,0.22,,,4.4945984,0.75238997,1640908800,1577750400,,,53660012,2506672128,,,,,,,,,,,,,,,,,,,,,,,,,,,5f6188c3-c96f-3912-85c3-41d8eec4f9a9,
VEI,General Contractors,Industrial Goods,[],1,124.4,125,105.18577,0.040192924,1.8519,,125.8,,45281,,124.4,121.81765,5,125,,45281,,,,,1588809600,0.546457,,,124,2,NOK,52.98126,34589,,,,16788527104,,,112485,0.4545302,124,124.4,,355700,34589,127.2,15.472637,,,72.95,124.2,False,,48800,125.8,OSL,VEIDEKKE,Veidekke ASA,Europe/Oslo,CEST,False,7200000,EQUITY,VEI.OL,finmb_876324,no_market,,0.886,,0.01367,24.993,0.52919483,,8.04,,134956000,,,16.167,,,,1577750400,0.44726002,288000000,2.348,,,7.694687,0.20325,1640908800,1585612800,,,188287200,32740999168,,1178668800,5:1,,,,,,,,,,,,8499,,,,,,,,,,,,fc39e9a5-b2f6-3ec9-9bfe-a075221688d9,
TGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOM,Waste Management,Industrial Goods,[],1,394.9,396.5,324.59204,0.0069637885,0.59650004,,401.1,,265213,,394.9,360.9147,2.75,396.5,,265213,,,,2.75,1588636800,0.391986,,,392.3,2,NOK,86.90554,292941,,,,59077525504,,,308655,6.174297,392.3,400.3,,218400,292941,401.1,69.84293,,1.44,201,400.1,False,0.0069999998,98700,401.1,OSL,TOMRA SYSTEMS ASA,Tomra Systems ASA,Europe/Oslo,CEST,False,7200000,EQUITY,TOM.OL,finmb_878841,no_market,,6.396,,0.07117,37.565,0.46693897,,5.73,,147620000,,,38.575,,,,1577750400,0.71271,681000000,4.605,,,10.374595,0,1640908800,1593475200,,,108186195,61197697024,,974851200,2:1,,,-0.022,,,,,,,,,4500,,,,,,,,,,,,2ec6aabb-d108-3aab-9fd6-ef3992573975,
VVL,Money Center Banks,Financial,[],1,165,165,149,0.042424243,0.35,,165,,5112,,165,151.05882,7,165,,5112,,,,7,1588550400,0.382694,,,161,2,NOK,8.405993,1551,,,,354798912,,,694,3.3388753,161,165,,34200,1551,171,8.821918,,3.7,125,161,False,0.0424,38200,165,OSL,VOSS VEKSEL-OG LAN,Voss Veksel- og Landmandsbank ASA,Europe/Oslo,CEST,False,7200000,EQUITY,VVL.OL,finmb_20392694,no_market,,14.647,,0.41467,,0.012269974,,18.25,,2203720,,,259.549,,,,1577750400,0.07198,44064000,19.153,,,0.62030673,0.30106002,1640908800,1585612800,,,1983366,1556381440,,1399939200,20:1,,,-0.286,,,,,,,,,,,,,,,,,,,,,13d8dce8-f3ca-3f70-bdb9-6fe73d298889,
WALWIL,Air Delivery & Freight Services,Services,[],1,13,13,14.248504,0.0046153846,0.5426,,13.18,,262142,,13,13.022353,0.06,13,,262142,,,,,1573516800,2.118466,,,12.92,2,NOK,,385418,,,,5465092096,,,691527,1.4671389,12.92,12.96,,0,385418,28.8,27.531914,,,7.58,12.94,False,,0,13.18,OSL,WALLENIUS WILH ASA,Wallenius Wilhelmsen ASA,Europe/Oslo,CEST,False,7200000,EQUITY,WALWIL.OL,finmb_109864930,no_market,,2.491,,-0.0545,22.248,-0.4453925,,0.47,,422340992,,,5.668,,,,1577750400,0.13828,-203000000,-0.481,,,2.2829921,0.75631,1640908800,1585612800,,,102062909,9277431808,,,,,,,,,,,,,,,9500,,,,,,,,,,,,ed8c9dbc-e194-3c77-adf8-7e083477b0a4,
VOW,,,[],1,20.15,21.2,23.649271,0.004962779,,,21.3,,267462,,20.15,22.330883,0.1,21.2,,267462,,,,0.1,1558656000,1.501742,,,20.15,2,NOK,,513105,,,,2205224960,,,305301,5.791032,20.15,20.3,,,513105,36,,,,12.2,20.2,False,0.0044,,21.3,OSL,VOW ASA,VOW ASA,Europe/Oslo,CEST,False,7200000,EQUITY,VOW.OL,finmb_261016875,no_market,,5.986,,-0.03545,59.669,0.083333254,,,,108900000,,,2.165,,,,1577750400,0.04666,-13500000,-0.14,,,9.353349,0.72224,1640908800,1577750400,,,25575256,2279355904,,,,,,,,,,,,,,,106,,,,,,,,,,,,86e9b58b-b1e1-3246-a629-6eeca6b530f8,
VISTIN,Drugs - Generic,Healthcare,[],1,13.1,13.1,9.718321,0.07633588,0,,13.7,,75695,,13.1,13.082353,1,13.1,,75695,,,,1,1589932800,0.865853,,,13,2,NOK,,113376,,,,605303744,,,249578,2.44762,13,13.65,,14100,113376,15,11.666667,,,5,13.5,False,0.0758,34200,13.7,OSL,VISTIN PHARMA ASA,Vistin Pharma ASA,Europe/Oslo,CEST,False,7200000,EQUITY,VISTIN.OL,finmb_288390382,no_market,,1.077,,-0.26928,6.63,0.80939233,,1.17,,44344600,,,6.372,,,,1577750400,0.19695,-66722000,-1.548,,,2.1421845,0.62490004,1640908800,1585612800,,,27755724,266353152,,,,,,,,,,,,,,,65,,,,,,,,,,,,c7de11f3-382d-3a90-87a1-6fcc439a5645,
WWI,Shipping,Services,[],1,113.5,113.5,117.47007,0.0023788547,,,116,,3648,,113.5,115.17647,0.27,113.5,,3648,,,,4.5,1588204800,1.239837,,,113,2,NOK,,13116,,,,5176685568,,,10922,6.033433,113,115,,13000,13116,179,41.87726,,2.82,86.8,116,False,0.0396,50600,116,OSL,WILH WILHEL. HLDG,Wilh. Wilhelmsen Holding ASA,Europe/Oslo,CEST,False,7200000,EQUITY,WWI.OL,finmb_875518,no_market,,6.524,,-0.23193,49.104,-0.1921708,,2.77,,34000000,,,33.109,,,,1577750400,0.19161,-199000000,-4.363,,,3.503579,0.62031,1640908800,1585612800,,,20705181,5597830144,,,,,,,,,,,,,,,15065,,,,,,,,,,,,7ff393f2-db27-3e08-92bc-41abf523b497,
WWIB,Shipping,Services,[],1,114,115,117.27007,0.002368421,,,115,,125,,114,114.42647,0.27,115,,125,,,,4,1588204800,1.239837,,,113.5,2,NOK,,85,,,,5042907136,,,2375,5.8775144,113.5,113.5,,7700,85,180,,,2.84,84.2,113,False,0.035099998,12300,115,OSL,WILH WILHEL. HLDG,Wilh. Wilhelmsen Holding ASA,Europe/Oslo,CEST,False,7200000,EQUITY,WWIB.OL,finmb_875518,no_market,,6.55,,-0.23193,49.299,-0.19718307,,,,10580000,,,33.109,,,,1577750400,0.49358,-199000000,-4.363,,,3.4280708,0.21858,1640908800,1585612800,,,20705181,5620120064,,1097712000,2:1,,,,,,,,,,,,15065,,,,,,,,,,,,cff45b17-0aa3-3036-8fa9-21387db419e1,
ZENA-ME,Independent Oil & Gas,Basic Materials,[],1,0.0714,0.072,0.11208759,,0,,0.0764,,5848035,,0.0714,0.0873147,,0.072,,5848035,,,,,,1.262256,,,0.0702,4,NOK,,1994857,,,,63532916,,,4897824,,0.0702,0.074,,,1994857,1.5,,,,0.053,0.0726,False,,,0.0764,OSL,ZENITH ENERGY LTD,Zenith Energy Ltd.,Europe/Oslo,CEST,False,7200000,EQUITY,ZENA-ME.OL,finmb_40814475,no_market,,,,-1.35866,,-0.8169231,,,,826676992,,,,,,,1553990400,0.04091,,,,,,0.18187,1617148800,1577750400,,,414413086,32240206,,,,,,,,,,,,,,,207,,,,,,,,,,,,1b7fe57d-960b-3378-9686-9d3bf8af0299,
XXL,"Specialty Retail, Other",Services,[],1,21.34,21.52,13.370217,0.09372071,0,,21.66,,1565690,,21.34,21.131472,2,21.52,,1565690,,,,,1528329600,2.715447,,,21,2,NOK,,918422,,,,5321371648,,,3429158,0.5419464,21,21.12,,146500,918422,25.519,6.934211,,,3.98,21.08,False,,314200,21.66,OSL,XXL ASA,XXL ASA,Europe/Oslo,CEST,False,7200000,EQUITY,XXL.OL,finmb_30428758,no_market,,0.885,,-0.04705,-19.4,-0.16569579,,3.04,,252436992,,,16.765,,,,1577750400,0.37916002,-462000000,-2.793,,,1.2573814,0.06273,1640908800,1593475200,,,154741147,8690998272,,1412035200,1:4,,,1.543,,,,,,,,,5568,,,,,,,,,,,,be3dd330-2515-3a60-a23a-44adf28d4f00,
ZWIPE-ME,Business Software & Services,Technology,[],1,20.95,21.5,7.8006935,,0,,22,,46485,,20.95,13.14353,,21.5,,46485,,,,,,,,,19.1,2,NOK,,206724,,,,492638272,,,64771,324.53113,19.1,19.3,,,206724,22,,,,2.2,19.26,False,,,22,OSL,ZWIPE AS,Zwipe AS,Europe/Oslo,CEST,False,7200000,EQUITY,ZWIPE-ME.OL,finmb_251799104,no_market,,336.969,,0,-5.443,0.45486116,,,,25525300,,,5.041,,,,1577750400,0.01824,-95154000,-5.98,,,3.8286054,0.20679002,1640908800,1577750400,,,17993267,511518208,,,,,,,,,,,,,,,29,,,,,,,,,,,,3d1c0b03-7744-3dfd-99af-d85b3bce923a,
WSTEP,Information Technology Services,Technology,[],1,19.8,19.7,18.883211,0.08080809,1.4035001,,20,,5661,,19.8,18.635294,1.6,19.7,,5661,,,,,1588896000,0.946236,,,19.5,2,NOK,17.559261,6517,,,,533468000,,,8681,0.8093873,19.5,20,,0,6517,25.6,8.849558,,,14.5,19.6,False,,0,20,OSL,WEBSTEP ASA,Webstep ASA,Europe/Oslo,CEST,False,7200000,EQUITY,WSTEP.OL,finmb_538629689,no_market,,0.796,,0.045900002,11.343,-0.23846155,,2.26,,26673400,,,14.594,,,,1577750400,0.42212,30252000,1.139,,,1.3704262,0.33957002,1640908800,1585612800,,,15650075,524575008,,,,,,-0.379,,,,,,,,,417,,,,,,,,,,,,b579ab60-65f0-3fcb-84cf-1f0eb25ec7dc,
ZAL,Staffing & Outsourcing Services,Services,[],1,33.8,33.4,32.220436,0.019230768,0,,33.6,,29878,,33.8,33.438236,0.65,33.4,,29878,,,,,1526428800,0.965156,,,33.3,2,NOK,,4805,,,,659258880,,,19843,0.8397646,33.3,33.8,,44800,4805,38.9,28.23529,,,19.5,33.6,False,,2000,33.6,OSL,ZALARIS ASA,Zalaris ASA,Europe/Oslo,CEST,False,7200000,EQUITY,ZAL.OL,finmb_8064584,no_market,,1.331,,-0.07875,34.377,0.4824562,,1.19,,19620800,,,4.901,,,,1577750400,0.38233003,-61826000,-3.148,,,6.8557434,0.26861,1640908800,1585612800,,,13763205,1045238272,,,,,,,,,,,,,,,728,,,,,,,,,,,,30a379b8-2d3d-31c1-8894-5667107baad6,
YAR,Agricultural Chemicals,Basic Materials,[],1,392.8,394.9,347.79565,0.004343177,1.0909,,400.3,,495957,,392.8,360.3943,1.706,394.9,,495957,,,,15,1588896000,0.697444,,,394.2,2,NOK,281.98712,405819,,,,105778077696,,,694966,8.687425,394.2,394.6,,18000,405819,416.6,128.50163,,3.06,276.1,394.4,False,0.0382,64300,400.3,OSL,YARA INTERNATIONAL,Yara International ASA,Europe/Oslo,CEST,True,7200000,EQUITY,YAR.OL,finmb_9235643,no_market,,8.95,,0.03113,57.447,0.03015995,,3.07,,268132000,,,29.582,,,,1577750400,0.30798998,379000000,1.399,,,13.335812,0.36211,1640908800,1593475200,,,169296013,108976340992,,,,,,-0.03,,,,,,,,,16033,,,,,,,,,,,,c105ace5-f782-39a5-b5b3-d78ca60fd444,
WILS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
