ticker,industry,sector,companyOfficers,maxAge,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,fullTimeEmployees,zip,longBusinessSummary,city,phone,country,website,address1,fax,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid,address2
SSO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDRL,Oil & Gas Drilling & Exploration,Basic Materials,[],1,3.958,4.08,6.5387664,,0,,4.144,,850431,,3.958,3.8824706,,4.08,,850431,,,,,,2.927784,,,3.876,4,NOK,,700038,,,,383748032,,,1278106,0.33990085,3.876,4.012,,115900,700038,33.84,-0.60818183,,,2.95,3.976,False,,487300,4.144,OSL,SEADRILL LTD,Seadrill Limited,Europe/Oslo,CEST,False,7200000,EQUITY,SDRL.OL,finmb_22532593,no_market,,5.686,,-2.2037199,30.567,-0.81743544,,-6.6,,100330000,,,-0.528,,,,1577750400,0.37392,-2488000000,-24.88,,,,0.27479,1640908800,1585612800,,,69439318,6419105792,,,,,,,,,,,,,,,4538,,,,,,,,,,,,f34cf53e-3abd-370d-b16d-49b3354d00b7,
SHLF,Oil & Gas Drilling,Energy,[],1,3.47,3.47,7.612847,,0,,3.59,,506876,,3.47,3.2135293,,3.47,,506876,,,,,,1.391208,,,3.41,4,NOK,,388669,,,,476636992,,,1048448,0.7810085,3.41,3.51,,0,388669,26,-7.6086955,,,2.74,3.5,False,,0,3.59,OSL,SHELF DRILLING LTD,"Shelf Drilling, Ltd.",Europe/Oslo,CEST,False,7200000,EQUITY,SHLF.OL,finmb_264429554,no_market,,2.345,,-0.52572,13.01,-0.78646153,,-0.46,,136182000,,,2.757,,,,1577750400,0.61056,-320836000,-2.383,,,1.2694958,0.19802,1640908800,1585612800,,,78989858,1431140096,,,,,,,,,,,,,,https://logo.clearbit.com/shelfdrilling.com,2160,,"Shelf Drilling, Ltd., through its subsidiaries, operates as a shallow water offshore drilling contractor in the Middle East, North Africa, the Mediterranean, South East Asia, India, and West Africa. It provides equipment and services for the drilling, completion, and well maintenance of shallow water offshore oil and natural gas wells. The company serves government owned or controlled energy companies, and integrated oil companies or independent exploration and production companies. As of December 31, 2019, it owned 32 independent-leg cantilever jack-up rigs. The company was founded in 2012 and is headquartered in Dubai, the United Arab Emirates.",Dubai,971 4 567 3400,United Arab Emirates,http://www.shelfdrilling.com,One JLT,971 4 567 3401,,,,251b3927-5ac6-3469-b7d9-67c98b0169c8,Floor 12 Jumeirah Lakes Towers PO Box 212201
SAS NOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SATS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SALM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCANA,,,[],1,1.02,1.02,0.88235295,,0,,1.03,,984786,,1.02,1.0658823,,1.02,,984786,,,,,1272499200,1.139953,,,1,4,NOK,509.99997,488579,,,,109655096,,,831513,0.30533624,1,1.02,,,488579,1.78,,,,0.5,1.01,False,,,1.03,OSL,SCANA ASA,Scana ASA,Europe/Oslo,CEST,False,7200000,EQUITY,SCANA.OL,finmb_881976,no_market,,0.523,,0.00077,60.148,0.18604648,,,,107505000,,,0.149,,,,1577750400,0,-4700000,0.002,,,6.8456373,0.76848,1640908800,1585612800,,,39910371,187661600,,,,,,,,,,,,,,,,,,,,,,,,,,,ea4c4847-296a-3d05-bde1-f6159291020f,
SCHB,Publishing - Newspapers,Services,[],1,317.8,317,231.16643,0.0062932665,0,,319.6,,104725,,317.8,260.7353,2,317,,104725,,,,,1557100800,0.845528,,,314,2,NOK,118.08748,30001,,,,77322633216,,,109713,4.0347857,314,318.8,,19800,30001,329.8,,,,164.4,318.6,False,,49700,319.6,OSL,SCHIBSTED ASA,Schibsted ASA,Europe/Oslo,CEST,False,7200000,EQUITY,SCHB.OL,finmb_878146,no_market,,4.49,,0.03313,32.754,0.3698275,,,,129360000,,,45.603,,,,1577750400,0.49286997,635000000,2.698,,,6.9863825,0.26551,1640908800,1593475200,,,166450463,86044549120,,,,,,0.738,,,,,,,,,5006,,,,,,,,,,,,b1a894a0-8db7-323e-bced-65ce26c26d75,
SBO,Property Management,Financial,[],1,51.7,51.7,50.675182,0.067698255,0.2334,,51.9,,63207,,51.7,51.81912,3.5,51.7,,63207,,,,3,1587945600,0.566782,,,51,2,NOK,2.6333385,60659,,,,4775982080,,,81862,1.388962,51,51.4,,199000,60659,77,10.470348,,6.83,38.95,51.2,False,0.058000002,2400,51.9,OSL,SELVAAG BOLIG AS,Selvaag Bolig ASA,Europe/Oslo,CEST,False,7200000,EQUITY,SBO.OL,finmb_104553470,no_market,,1.932,,0.52312,3.542,0.11542618,,4.89,,93280896,,,26.229,,,,1577750400,0.21912001,1798752000,19.443,,,1.9520378,0.57431,1640908800,1585612800,,,38860252,6642713088,,,,,,,,,,,,,,,87,,,,,,,,,,,,a7d9d772-1147-377d-a6d7-d4a6ebbfa4eb,
ROM,Property Management,Financial,[],1,1.95,2,2.0354013,,0,,2,,2202,,1.95,2.2926471,,2,,2202,,,,,,-0.003484,,,2,4,NOK,48.780487,1,,,,82735600,,,5572,,2,2,,123900,1,2.98,,,,1.3,1.76,False,,900000,2,OSL,ROMREAL INVEST LTD,RomReal Limited,Europe/Oslo,CEST,False,7200000,EQUITY,ROM.OL,finmb_34051402,no_market,,,,0,,-0.21370965,,,,41367800,,,0.574,,,,1577750400,0.03263,,0.041,,,3.4843206,0.52756,1640908800,1585612800,,,8654554,80667176,,,,,,,,,,,,,,,5,,,,,,,,,,,,2574fb2a-334d-3d61-9b67-1939877496d8,
