ticker,name,sector,last_,buy,sell,tradecount,info,marketcap,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr
SBLK,Star Bulk Carriers,Industrials,106.0,106.0,106.5,17,LP,9612.77,0.0192,0.0341,0.0341,0.26030000000000003,0.26030000000000003
SNI,Stolt-Nielsen,Industrials,114.0,113.8,114.6,85,,6101.71,-0.006999999999999999,0.0,0.0345,0.16440000000000002,0.16440000000000002
STB,Storebrand,Financials,69.02,69.02,69.04,1692,,32223.42,0.006999999999999999,-0.0049,0.0451,0.1691,0.1691
STORM,Storm Real Estate,Real estate,3.4,3.12,3.64,7,,30.04,0.030299999999999997,-0.08109999999999999,-0.1748,-0.24780000000000002,-0.24780000000000002
STRONG,StrongPoint,Information technology,12.0,11.9,12.0,19,LP,530.09,0.0042,0.0256,0.057300000000000004,0.4183,0.4183
SUBC,Subsea 7,Energy,104.95,104.8,105.0,1929,,31357.71,0.005699999999999999,0.0033,0.0873,0.2621,0.2621
SUNSB-ME,Sunndal Sparebank,Equity certificates,115.0,114.0,115.0,0,LP,155.50,,,-0.0171,0.1114,0.1114
SUSB-ME,Surnadal Sparebank,Equity certificates,112.0,109.0,112.0,0,LP,225.05,,,-0.026099999999999998,0.1407,0.1407
TEONE-ME,TargetEveryOne,Information technology,1.09,1.0,1.14,66,,130.61,0.22469999999999998,0.6515000000000001,1.4222,-0.3569,-0.3569
TRVX,Targovax,Health care,8.76,8.76,8.8,476,,555.24,0.1173,0.23379999999999998,0.6718000000000001,0.2716,0.2716
TEAM,Team Tankers International,Industrials,5.4,5.4,5.6,4,,1097.57,-0.027000000000000003,-0.027000000000000003,0.0,-0.136,-0.136
TECH,Techstep,Information technology,3.39,3.3,3.4,18,,551.87,0.0935,0.0935,0.1151,0.0273,0.0273
TEL,Telenor,Communication services,157.45,157.4,157.45,2102,,223998.30,-0.0076,-0.015600000000000001,-0.0639,-0.0148,-0.0148
TGS,TGS-NOPEC Geophysical Company,Energy,267.1,267.1,267.7,2168,,31294.69,-0.0015,-0.0037,0.0175,0.3319,0.3319
SSC,The Scottish Salmon Company,Consumer staples,28.25,28.25,28.3,31,,5481.29,0.0036,0.0,0.0,0.9229999999999999,0.9229999999999999
THIN,Thin Film Electronics,Information technology,2.33,2.32,2.33,550,,136.52,-0.0643,-0.068,0.2944,-0.8443,-0.8443
TIETOO,TietoEVRY,Information technology,277.6,271.8,277.6,76,,32827.18,-0.0007000000000000001,0.024399999999999998,,,
TOM,Tomra Systems,Industrials,278.4,278.4,279.2,1146,,41069.59,-0.0169,-0.0232,0.0138,0.4547,0.4547
TOTG,Totens Sparebank,Equity certificates,139.0,139.0,140.0,5,LP,851.31,0.0,0.0,0.0451,0.21530000000000002,0.21530000000000002
TRE,Treasure,Industrials,13.65,13.15,13.7,17,,2966.62,0.0074,0.0111,-0.0073,0.2051,0.2051
TYSB-ME,Tysnes Sparebank,Equity certificates,122.0,120.0,122.0,0,LP,185.08,,,-0.0161,,
ULTIMO,Ultimovacs,Health care,39.2,38.9,39.2,41,,1092.13,0.0182,0.0051,0.30670000000000003,,
VEI,Veidekke,Industrials,119.5,119.5,119.6,359,,16127.27,0.0084,-0.0058,-0.0033,0.3003,0.3003
VISTIN,Vistin Pharma,Health care,10.4,10.35,10.6,16,,461.18,-0.0189,0.0,-0.014199999999999999,0.39409999999999995,0.39409999999999995
VVL,Voss Veksel- og Landmandsbank,Financials,156.0,152.0,156.0,2,LP,343.82,,0.0,0.0196,,
WALWIL,Wallenius Wilhelmsen,Industrials,21.82,21.82,21.84,344,,9214.69,0.0009,0.0074,0.040999999999999995,-0.23420000000000002,-0.23420000000000002
WSTEP,Webstep,Information technology,24.2,24.0,24.8,2,,645.50,0.0083,-0.0242,-0.0163,0.0371,0.0371
WWI,Wilh. Wilhelmsen Holding ser. A,Industrials,165.0,165.0,165.5,59,,5610.00,0.0060999999999999995,0.0313,0.0855,0.0576,0.0576
WWIB,Wilh. Wilhelmsen Holding ser. B,Industrials,165.0,162.0,164.5,33,,1745.70,0.0123,0.0248,0.08199999999999999,0.0717,0.0717
WILS,Wilson,Industrials,20.8,21.0,24.0,0,,912.29,,,-0.10339999999999999,0.18350000000000002,0.18350000000000002
WRE-ME,WR Entertainment,Communication services,0.75,,,0,,1.30,,,,,
XXL,XXL,Consumer discretionary,16.75,16.7,16.75,449,,2776.53,-0.01,0.0384,0.0574,-0.35450000000000004,-0.35450000000000004
YAR,Yara International,Materials,365.2,365.2,365.4,2154,,98984.04,-0.0076,-0.0103,0.0509,0.1142,0.1142
ZAL,Zalaris,Industrials,27.6,25.5,27.1,3,,540.09,0.0,0.0,0.09519999999999999,0.09519999999999999,0.09519999999999999
ZENA-ME,Zenith Energy,Energy,0.21,0.21,0.21,88,LP,96.63,-0.004699999999999999,0.0239,-0.2569,-0.37060000000000004,-0.37060000000000004
ZWIPE-ME,Zwipe,Information technology,5.3,5.25,5.3,99,,140.92,-0.0364,-0.061900000000000004,-0.2206,,
