,ticker,name,sector,last_,buy,sell,tradecount,info,marketcap,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr
118,MSEIS,Magseis Fairfield,Energy,1.61,1.61,1.63,170,,430.57,0.0125,-0.1013,-0.1765,-0.7189,-0.8551000000000001
119,MEDI,Medistim,Health care,214.0,213.0,215.0,84,,3894.98,-0.004699999999999999,-0.0138,0.0239,0.11460000000000001,0.6335999999999999
120,MELG,Melhus Sparebank,Equity certificates,134.0,133.0,136.0,8,LP,371.90,-0.0074,0.0,0.046900000000000004,0.0208,0.1514
121,MRCEL-ME,Mercell Holding,Information technology,8.5,8.5,8.54,680,,2462.29,0.030299999999999997,,,,
122,MOWI,Mowi,Consumer staples,169.0,168.8,169.0,5014,,87391.77,0.0108,-0.0538,-0.0989,-0.25079999999999997,-0.17850000000000002
123,MPCC,MPC Container Ships,Industrials,2.1,2.05,2.19,682,LP,191.42,0.039599999999999996,-0.5802,-0.691,-0.8724,-0.8989
124,MULTI,Multiconsult,Industrials,68.0,68.0,68.5,45,,1827.19,0.0226,0.0074,0.0462,-0.0556,0.0794
125,NAPA,Napatech,Information technology,6.45,6.41,6.45,293,,535.72,0.084,0.3299,0.5176,0.3812,3.4177999999999997
126,NATTO,NattoPharma,Consumer staples,21.2,21.0,21.2,209,LP,414.10,0.0495,0.2184,0.3333,1.8266999999999998,1.0784
127,NAVA,Navamedic,Health care,18.75,18.5,18.9,54,,284.38,-0.0335,-0.057800000000000004,-0.023399999999999997,0.0146,0.19649999999999998
128,NKR,Nekkar,Industrials,3.73,3.73,3.8,54,,393.94,0.0,-0.0286,0.0,0.8195,0.45289999999999997
129,NEL,NEL,Industrials,23.34,23.25,23.34,7276,,32708.45,0.0571,0.08560000000000001,0.1558,1.7018,2.3244
130,NEXT,NEXT Biometrics Group,Information technology,1.9,1.88,1.9,66,,133.93,0.0315,-0.0557,-0.2686,-0.44270000000000004,-0.5388000000000001
131,NISB-ME,Nidaros Sparebank,Equity certificates,113.0,112.0,117.0,0,LP,126.46,,,0.066,0.0547,0.14679999999999999
132,NORBIT,NORBIT,Information technology,14.3,14.1,14.3,31,LP,812.05,0.021400000000000002,0.0288,-0.0403,-0.2709,-0.2559
133,NOM,Nordic Mining,Materials,2.52,2.43,2.52,275,,497.68,0.0161,0.0633,0.1507,0.1996,0.2721
134,NANO,Nordic Nanovector,Health care,20.5,20.5,20.54,261,,1356.32,0.0039000000000000003,-0.0294,0.06,-0.35409999999999997,-0.38170000000000004
135,NOD,Nordic Semiconductor,Information technology,92.5,92.5,92.6,4318,,16331.40,0.1051,0.142,0.4079,0.6607,1.2214
136,NHY,Norsk Hydro,Materials,28.56,28.54,28.56,5818,,58523.00,0.044199999999999996,0.0593,0.060899999999999996,-0.125,-0.07150000000000001
137,NSKOG,Norske Skog,Materials,30.5,30.5,30.9,205,,2516.25,-0.0016,-0.0513,-0.0758,-0.23190000000000002,
138,NORTH,North Energy,Energy,1.45,1.4,1.44,39,,170.01,0.0432,0.0394,0.11539999999999999,-0.0584,-0.0102
139,NODL,Northern Drilling,Energy,6.49,6.37,6.49,69,,104.70,0.1487,-0.0553,-0.13,-0.6857,-0.8223999999999999
140,NOL,Northern Ocean Ltd.,Energy,5.13,5.06,5.13,220,,327.31,0.026000000000000002,-0.0888,-0.2343,,
141,NRS,Norway Royal Salmon,Consumer staples,222.2,221.4,222.2,323,,9536.56,-0.008,-0.0601,-0.0833,-0.052000000000000005,0.10619999999999999
142,NAS,Norwegian Air Shuttle,Industrials,2.85,2.85,2.85,4039,,9319.39,0.0552,0.0379,-0.0984,-0.9245,-0.9336
143,NOR,Norwegian Energy Company,Energy,154.0,154.0,155.5,62,LP,3713.07,0.0033,-0.0128,-0.1698,-0.3171,-0.44799999999999995
144,NOFI,Norwegian Finans Holding,Financials,70.7,70.65,70.7,1433,,13199.32,0.031400000000000004,0.0451,0.012199999999999999,-0.2581,0.1082
145,NPRO,Norwegian Property,Real estate,11.6,11.6,11.8,31,,5726.06,0.0175,-0.0902,-0.0085,-0.16140000000000002,-0.0092
146,NRC,NRC Group,Industrials,33.4,33.4,33.5,133,,2435.79,0.0437,0.0705,0.029300000000000003,-0.4103,-0.49520000000000003
147,NTS,NTS,Industrials,69.0,69.0,72.0,8,,8229.79,0.0,-0.0282,0.0,0.1672,0.12050000000000001
