ticker,name,sector,last_,buy,sell,tradecount,info,marketcap,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr
SSG,Self Storage Group,Industrials,24.5,24.3,24.5,9,,2066.05,0.008199999999999999,0.0166,-0.0684,-0.1343,0.19510000000000002
SBO,Selvaag Bolig,Real estate,51.8,51.8,52.0,91,,4831.95,-0.0171,-0.0226,0.011699999999999999,0.0172,0.6606000000000001
SHLF,Shelf Drilling,Energy,3.6,3.51,3.6,239,,490.26,0.09759999999999999,0.2457,-0.0601,-0.7978000000000001,-0.87
SIOFF,Siem Offshore,Energy,0.9,0.9,0.94,16,,841.26,0.0,-0.0625,-0.0526,-0.2857,-0.40399999999999997
SIKRI-ME,Sikri Holding,Information technology,90.0,89.83,90.0,45,,1326.74,-0.0217,,,,
SKUE,Skue Sparebank,Equity certificates,168.0,168.0,170.0,4,LP,316.01,-0.0118,0.006,0.012,0.1609,0.361
SOFTOX-ME,SoftOx Solutions,Health care,57.0,56.5,57.5,34,,441.81,0.0,-0.0087,-0.3006,0.8626999999999999,1.375
SOGN,Sogn Sparebank,Equity certificates,99.0,99.0,100.0,1,LP,62.62,0.0,-0.019799999999999998,-0.0481,-0.0748,-0.005
SOLON,Solon Eiendom,Real estate,30.5,29.7,30.5,14,,2237.57,0.0,0.0167,-0.0161,-0.2488,-0.1528
SOFF,Solstad Offshore,Energy,0.5,0.49,0.5,57,,144.98,0.001,0.015300000000000001,-0.195,-0.4876,-0.6143
SBVG,SpareBank 1 BV,Equity certificates,36.3,36.2,36.5,10,LP,2287.18,0.0,0.0083,0.013999999999999999,-0.0155,0.0397
NONG,SpareBank 1 Nord-Norge,Equity certificates,65.7,65.6,65.8,105,LP,6596.15,0.0060999999999999995,0.0233,0.0876,-0.0964,0.0587
SNOR,SpareBank 1 Nordvest,Equity certificates,108.0,108.0,110.0,3,,240.90,-0.027000000000000003,-0.0182,-0.0092,-0.0040999999999999995,0.0704
RING,SpareBank 1 Ringerike Hadeland,Equity certificates,220.0,220.0,226.0,4,,3443.09,,-0.0265,-0.009000000000000001,0.024700000000000003,0.1553
MING,SpareBank 1 SMN,Equity certificates,81.9,81.9,82.0,281,,10633.55,0.0060999999999999995,0.0199,0.0748,-0.1189,-0.1009
SRBANK,SpareBank 1 SR-Bank,Financials,74.2,74.25,74.35,326,,18975.56,-0.0126,0.0040999999999999995,0.048799999999999996,-0.258,-0.2531
SOAG,SpareBank 1 Østfold Akershus,Equity certificates,226.0,228.0,232.0,1,LP,2799.72,0.0,,0.018000000000000002,-0.0029,0.0683
SPOL,SpareBank 1 Østlandet,Equity certificates,89.9,89.6,89.9,5,LP,10413.10,0.0022,0.0045000000000000005,0.0369,0.0342,0.1321
MORG,Sparebanken Møre,Equity certificates,296.0,296.0,298.0,4,LP,2919.99,-0.0034000000000000002,-0.01,-0.0034000000000000002,-0.016200000000000003,-0.009899999999999999
SOR,Sparebanken Sør,Equity certificates,98.8,98.0,98.8,9,LP,1543.22,-0.004,-0.006,0.0102,-0.1018,0.0455
SBTE,Sparebanken Telemark,Equity certificates,129.0,127.0,129.0,4,,1405.92,0.0,0.0,0.0403,0.046,0.1573
SVEG,Sparebanken Vest,Equity certificates,61.7,61.7,61.9,86,LP,6620.10,0.0,-0.04190000000000001,0.0033,0.025699999999999997,0.2087
SPOG,Sparebanken Øst,Equity certificates,48.1,48.1,48.3,7,,997.17,0.0105,-0.0123,0.050199999999999995,-0.0504,-0.028999999999999998
SBLK,Star Bulk Carriers,Industrials,60.2,55.0,60.0,0,,5459.33,,,-0.1545,-0.4285,-0.3455
SNI,Stolt-Nielsen,Industrials,84.4,84.0,84.4,11,,4517.41,0.0108,0.023,0.0012,-0.2596,-0.16
STB,Storebrand,Financials,52.08,52.06,52.1,1560,,24341.68,0.0012,-0.0461,0.022799999999999997,-0.24489999999999998,-0.1322
STORM,Storm Real Estate,Real estate,3.36,3.36,3.64,6,,29.68,0.0435,-0.04,-0.028900000000000002,-0.0118,-0.0508
STRONG,StrongPoint,Information technology,15.9,15.85,15.9,110,LP,703.96,0.0291,0.2,0.2231,0.325,0.5512
SUBC,Subsea 7,Energy,66.38,66.36,66.4,840,,19729.18,0.0021,0.0407,-0.0092,-0.3671,-0.2836
SUNSB-ME,Sunndal Sparebank,Equity certificates,110.0,110.0,111.0,2,LP,148.74,,0.0,0.0092,0.0294,0.09609999999999999
SUSB-ME,Surnadal Sparebank,Equity certificates,106.0,105.0,107.0,0,LP,212.99,,,0.0,0.0078000000000000005,0.0529
TRVX,Targovax,Health care,6.43,6.45,6.5,59,,489.24,0.0031,-0.0168,-0.17559999999999998,-0.266,-0.0031
TEAM,Team Tankers International,Industrials,3.2,3.2,3.48,0,,648.48,,,-0.2,-0.40740000000000004,-0.4483
TECH,Techstep,Information technology,2.54,2.54,2.6,2,,413.50,0.0,0.016,-0.1119,-0.2507,-0.38799999999999996
TEL,Telenor,Communication services,154.25,154.25,154.3,2286,,215866.40,0.0384,0.0787,0.0547,0.0088,-0.0781
TGS,TGS-NOPEC Geophysical Company,Energy,144.2,144.15,144.2,868,,16858.04,-0.0052,0.030699999999999998,-0.0415,-0.4465,-0.3483
THIN,Thin Film Electronics,Information technology,0.35,0.34,0.35,149,,123.81,-0.0023,-0.0832,-0.35479999999999995,-0.7218000000000001,-0.7464
TIETOO,TietoEVRY,Information technology,264.6,264.0,264.8,18,,31331.00,0.010700000000000001,0.003,0.0458,-0.046799999999999994,
TOM,Tomra Systems,Industrials,365.4,365.1,365.4,1160,,53940.31,0.0022,0.0287,0.042800000000000005,0.3132,0.3343
TOTG,Totens Sparebank,Equity certificates,137.0,137.0,138.0,1,LP,839.06,0.0074,-0.0352,-0.021400000000000002,0.0408,0.1482
TRE,Treasure,Industrials,11.05,11.05,11.15,76,,2373.93,0.037599999999999995,0.0425,-0.0178,-0.15710000000000002,-0.1477
TYSB-ME,Tysnes Sparebank,Equity certificates,111.0,111.0,114.0,1,LP,168.40,,0.0,0.0183,-0.0519,0.061200000000000004
ULTIMO,Ultimovacs,Health care,41.1,41.1,41.5,22,,1314.11,0.0024,-0.0096,-0.0701,0.048499999999999995,0.3152
VEI,Veidekke,Industrials,126.0,125.8,126.0,86,,17004.49,-0.0016,0.032799999999999996,0.09570000000000001,0.054400000000000004,0.5681
VISTIN,Vistin Pharma,Health care,14.3,14.3,14.45,93,,634.13,-0.0305,0.07519999999999999,0.126,0.4925,1.2827000000000002
VVL,Voss Veksel- og Landmandsbank,Financials,155.0,153.0,155.0,2,LP,341.60,0.0131,0.0,0.0473,-0.0064,-0.0365
VOW,Vow,Industrials,22.45,22.45,22.6,84,,2392.35,-0.011000000000000001,-0.0088,-0.0646,-0.25170000000000003,0.1483
WALWIL,Wallenius Wilhelmsen,Industrials,13.16,13.14,13.18,183,,5557.53,-0.006,0.0139,-0.0105,-0.3969,-0.4828
WSTEP,Webstep,Information technology,18.7,18.6,18.9,1,,498.79,0.0,0.0054,0.038900000000000004,-0.2273,-0.2863
WWI,Wilh. Wilhelmsen Holding ser. A,Industrials,116.0,113.5,116.0,19,,3944.00,0.0131,-0.0043,0.0642,-0.2828,-0.1406
WWIB,Wilh. Wilhelmsen Holding ser. B,Industrials,116.0,115.0,117.5,24,,1227.28,0.0,-0.0043,0.035699999999999996,-0.2829,-0.1411
WILS,Wilson,Industrials,19.2,19.3,20.2,0,,842.12,,,-0.030299999999999997,-0.052000000000000005,0.011899999999999999
XXL,XXL,Consumer discretionary,22.14,22.12,22.16,1737,,5588.95,0.0064,-0.0212,0.177,0.5437,-0.0013
YAR,Yara International,Materials,383.9,383.7,383.9,3595,,102935.97,0.0292,0.11599999999999999,0.0518,0.0987,-0.0322
ZAL,Zalaris,Industrials,33.5,32.8,33.4,3,,657.30,0.0182,0.003,0.006,0.2138,0.4889
ZENA-ME,Zenith Energy,Energy,0.09,0.08,0.09,35,LP,72.94,0.0288,-0.0115,-0.2147,-0.6,-0.7859999999999999
ZWIPE-ME,Zwipe,Information technology,12.5,12.4,12.5,29,,319.07,-0.0385,-0.029500000000000002,0.17920000000000003,1.3585,-0.15539999999999998
