ticker,52WeekChange,SandP52WeekChange,annualHoldingsTurnover,annualReportExpenseRatio,beta,beta3Year,bookValue,category,dateShortInterest,earningsQuarterlyGrowth,enterpriseToEbitda,enterpriseToRevenue,enterpriseValue,fiveYearAverageReturn,floatShares,forwardEps,forwardPE,fundFamily,fundInceptionDate,heldPercentInsiders,heldPercentInstitutions,lastCapGain,lastDividendValue,lastFiscalYearEnd,lastSplitDate,lastSplitFactor,legalType,maxAge,morningStarOverallRating,morningStarRiskRating,mostRecentQuarter,netIncomeToCommon,nextFiscalYearEnd,pegRatio,priceHint,priceToBook,priceToSalesTrailing12Months,profitMargins,revenueQuarterlyGrowth,sharesOutstanding,sharesPercentSharesOut,sharesShort,sharesShortPreviousMonthDate,sharesShortPriorMonth,shortPercentOfFloat,shortRatio,threeYearAverageReturn,totalAssets,trailingEps,yield,ytdReturn
NOR,-0.0021551847,0.23080206,,,-0.188632,,22.771,,,,107.509,39.648,6453096448,,6303696,17.14,,,-,,,,,1546214400,2015-05-15,1:100,,1,,,1569801600,160256704,1609372800,,2,9.924905,,0.98460996,,24249100,,,-,,,,,,6.373,,
SDRL,-0.8082759,0.23080206,,,,,18.559,,,,20.268,6.378,7174980096,,62858217,-6.6,,,-,,,,,1546214400,-,,,1,,,1569801600,-1382000000,1609372800,,2,0.7182499,,-1.22844,,100224000,,,-,,,,,,-13.897,,
KIT,0.33333337,0.23080206,,,1.252883,,4.036,,,0.129,10.717,0.873,2750215936,,167920083,0.76,,,-,,,,,1546214400,-,,,1,,,1569801600,126180000,1609372800,,2,3.0673935,,0.04007,,179104000,,,-,,,,,,0.699,,
ARCHER,-0.4581818,0.23080206,,,3.384678,,0.656,,,,11.328,1.297,1088636800,,103891411,0.06,,,-,,,,,1546214400,2015-09-28,1:10,,1,,,1569801600,-108500000,1609372800,,4,4.969512,,-0.12929,,148032000,,,-,,,,,,-0.74,,
WWIB,0.070469856,0.23080206,,,1.270181,,40.061,,,,76.06,9.644,8062410752,,22553189,,,,-,,,,,1546214400,2004-10-14,2:1,,1,,,1569801600,70000000,1609372800,,2,3.9315045,,0.083730005,,10580000,,,-,,,,,,1.508,,
ZENA-ME,-0.34863067,0.23080206,,,1.597464,,,,,,,,65341672,,299327448,,,,-,,,,,1553990400,-,,,1,,,1569801600,,1617148800,,4,,,-1.65454,,507072992,,,-,,,,,,,,
BON,0.8718803,0.23080206,,,0.5,,140.915,,,,7.577,1.688,13156276224,,19787538,,,,-,,,,,1546214400,2006-06-01,4:1,,1,,,1569801600,-120820000,1609372800,,2,1.5825144,,0.00765,,42531900,,,-,,,,,,1.403,,
PHLY,0.6071428,0.23080206,,,,,7.615,,,,-33.991,19.647,554055552,,4042344,,,,-,,,,,1577750400,-,,,1,,,1577750400,-19300000,1640908800,,2,5.77807,,-0.6844,,12107900,,,-,,,,,,-1.594,,
REC,-0.32999998,0.23080206,,,0.791598,,0.147,,,,-73.98,7.302,1294657152,,288002942,0,,,-,,,,,1546214400,2019-07-12,1:10,,1,,,1569801600,-89600000,1609372800,,4,26.925169,,-0.50536,,279820000,,,-,,,,,,-0.335,,
ASA-ME,0.51351357,0.23080206,,,0.498657,,3.032,,,,-1226.5,3932.187,9924841472,,39259589,,,,-,,,,,1546214400,-,,,1,,,1561852800,-14807000,1609372800,,2,45.844326,,0,,71276096,,,-,,,,,,-0.234,,
