ticker,name,marketcap,sector,info,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr,bookValue,enterpriseValue,trailingEps,priceToBook,beta
VISTIN,Vistin Pharma,438.12,Health care,,-0.0325,-0.008100000000000001,-0.0277,0.3164,0.2275,9.203,147741616.0,-0.043,1.0779094,0.625984
VVL,Voss Veksel- og Landmandsbank,337.21,Financials,LP,,,-0.0192,,0.1883,268.474,1317921920.0,22.81,0.57361233,0.17135899999999998
WALWIL,Wallenius Wilhelmsen,8927.53,Industrials,,-0.0215,0.0116,-0.0709,-0.2651,-0.2626,6.315,12901095424.0,0.222,3.3095803,1.6291229999999999
WSTEP,Webstep,645.5,Information technology,,,,0.0522,0.0371,-0.0216,13.687000000000001,640441792.0,1.6,1.7973259999999998,0.31608200000000003
WWI,Wilh. Wilhelmsen Holding ser. A,4947.0,Industrials,,0.0,-0.042800000000000005,-0.0364,-0.0674,-0.0557,40.061,7412756992.0,1.508,3.6069991999999997,1.197908
WWIB,Wilh. Wilhelmsen Holding ser. B,1571.13,Industrials,,0.0,0.0,-0.044800000000000006,-0.0355,-0.0294,40.061,7551968768.0,1.508,3.7318089999999997,1.197908
WILS,Wilson,877.2,Industrials,,,,,0.138,0.1696,2.9989999999999997,877203648.0,0.273,7.269089,0.936444
WRE-ME,WR Entertainment,1.3,Communication services,,,,,,,,,,,
XXL,XXL,2519.59,Consumer discretionary,,-0.0169,-0.0213,-0.16649999999999998,-0.4154,-0.6142,27.688000000000002,7012540416.0,0.773,0.55475295,1.21802
YAR,Yara International,92045.4,Materials,,-0.016200000000000003,-0.0134,-0.07780000000000001,0.0345,0.022,31.171,97943191552.0,2.039,10.89795,0.826226
ZAL,Zalaris,490.57,Industrials,,0.0,-0.0079,0.1848,-0.0079,-0.0809,4.768,885729024.0,-0.34700000000000003,5.2432885,0.8680610000000001
ZENA-ME,Zenith Energy,106.22,Energy,LP,-0.0074,-0.053,-0.0629,-0.2118,-0.3128,,106019168.0,,,1.522364
ZWIPE-ME,Zwipe,179.47,Information technology,,0.0075,-0.0074,-0.2071,,,5.02,34754360.0,-4.9110000000000005,1.304781,
