ticker,zip,sector,longBusinessSummary,city,phone,country,companyOfficers,website,maxAge,address1,fax,industry,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,fullTimeEmployees,address2,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid,state
BWO,HM11,Energy,"BW Offshore Limited builds, owns, and operates oil and gas floating production, storage, and offloading vessels (FPSOs); and floating, storage, and offloading vessels (FSOs) to the oil and gas industries in the Asia Pacific, the Americas, the European Union, and West Africa. It also offers engineering, procurement, construction, and installation services; and lease and operation services of FPSO units. As of March 8, 2016, the company had a fleet of 14 FPSOs and 1 FSO. It also operates additional two operations and maintenance contracts FPSOs and one new project FPSO. The company was founded in 1982 and is based in Hamilton, Bermuda.",Hamilton,,Bermuda,[],http://www.bwoffshore.com,1,Clarendon House,,Oil & Gas Equipment & Services,31.08,31.12,33.509403,,0,,32.22,,335817,,31.08,33.42,,31.12,,335817,,,,0.32,1591056000,2.864534,,,31.12,2,NOK,,155393,,,,7216473088,,,969081,6.1146193,31.12,31.74,,,155393,69.212,,,,12.91,31.64,False,0.01,,32.22,OSL,BW OFFSHORE LTD,BW Offshore Limited,Europe/Oslo,CEST,False,7200000,EQUITY,BWO.OL,finmb_26954576,no_market,,5.978,,-0.18548,10.472,-0.27782476,,0.68,,227648992,,,4.217,,,,1577750400,0.2165,-233200000,-1.184,,0.107150316,7.5171924,0.50139,1640908800,1585612800,,,106798650,7054799872,,1480636800,1:50,,,,,,,,,,,https://logo.clearbit.com/bwoffshore.com,2126,2 Church Street,,,,,
BRA-ME,5014,Financial Services,"BRAbank ASA operates as a digital bank in Norway. It offers consumer finance, unsecured financing to private individuals, saving accounts, and credit cards, as well as payment insurance loans and payment solutions. The company was formerly known as Monobank ASA and changed its name to BRAbank ASA in June 2019. BRAbank ASA was founded in 2015 and is headquartered in Bergen, Norway.",Bergen,47 55 96 10 00,Norway,[],http://www.brabank.no,1,Starvhusgaten 4,,Banks—Regional,0.39,0.39,0.4192806,,0,,0.39,,128943,,0.39,0.3644706,,0.39,,128943,,,,,,1.155172,,,0.39,4,NOK,,5000,,,,244108384,,,1025986,5.3799176,0.39,0.39,,,5000,2.26,,,,0.262,0.378,False,,,0.39,OSL,BRABANK ASA (NEW),BRAbank ASA,Europe/Oslo,CEST,False,7200000,EQUITY,BRA-ME.OL,finmb_316669435,no_market,,5.247,,-2.80288,,-0.75974846,,,,625918976,,,1.287,,,,1577750400,,-127178000,-0.203,,0.107150316,0.3030303,,1640908800,1585612800,,,348217271,238095888,,1583884800,0:1,,,,,,,,,,,https://logo.clearbit.com/brabank.no,51,,,,,,
CARA,,Healthcare,"Carasent ASA provides cloud-based medical record services to the private and public health care industry in Nordic region. The company develops Webdoc, a cloud based EMR-system; and develops a digital platform for interactive health care to communicate through video, tele and health meetings, chat, and other online channels. It also provides training and consulting services. The company was formerly known as Apptix ASA and changed its name to Carasent ASA in May 2019. The company was founded in 1997 and is based in Oslo, Norway.",Oslo,,Norway,[],http://carasent.com,1,c/o Advokatsenteret Kristian,,Health Information Services,20.8,21,15.186619,,0,,21.3,,40822,,20.8,20.038235,,21,,40822,,,,,1525996800,0.407558,,,20.7,2,NOK,351.6667,14873,,,,857373184,,,81118,16.336208,20.7,21.2,,,14873,22,,,,7.24,21,False,,,21.3,OSL,CARASENT ASA,Carasent ASA,Europe/Oslo,CEST,False,7200000,EQUITY,CARA.OL,finmb_4222700,no_market,,16.303,,0.04868,102.889,1.7706184,,,,40633800,,,2.482,,,,1577750400,0.05599,2555000,0.06,,0.107150316,8.501208,0.62675,1640908800,1585612800,,,15670096,855626176,,1558569600,1:4,,,-0.629,,,,,,,,https://logo.clearbit.com/carasent.com,,Augusts gate 14,,,,,
COV,111 22,Healthcare,"ContextVision AB (publ), a medical technology software company, provides image analysis and artificial intelligence software solutions to original equipment manufacturers worldwide. It operates through two segments, Medical Imaging and Digital Pathology. The company offers image enhancement software for 2D/3D/4D ultrasound, radiography, magnetic resonance imaging (MRI), and mammography. Its products include US PLUSView, an image enhancement software product for women's health, general imaging, cardiovascular, and point of care applications; VolarView, an image enhancement software for the handheld ultrasound market segment; GOPiCE, a technology for volumetric image enhancement in real-time; and REALiCE, a volumetric image enhancement and rendering solution for visualization. The company also provides Altumira/Altumira Plus, a solution for various digital radiography systems; GOPView XR2Plus for x-ray systems for human and veterinary examinations; and Orthopedic Package for orthopedic imaging. In addition, it offers GOPView MRI2Plus, an image enhancement solution for MRI; GOPView Mammo3, an image enhancement software for screening and diagnostic mammography; and INIFY Prostate, an AI-based software that outlines and quantifies suspected cancerous areas in a series of prostate biopsies. ContextVision AB (publ) was founded in 1983 and is headquartered in Stockholm, Sweden.",Stockholm,46 87 50 35 50,Sweden,[],http://www.contextvision.com,1,Klara Norra Kyrkogata 31,,Health Information Services,219,225,139.30504,,0,,237,,15411,,219,237.63235,,225,,15411,,,,,1212969600,1.298837,,,225,2,NOK,,17966,,,,1818136192,,,20856,,225,236,,140000,17966,309,903.8462,,,50.5,235,False,,140000,237,OSL,CONTEXTVISION AB,ContextVision AB (publ),Europe/Oslo,CEST,False,7200000,EQUITY,COV.OL,finmb_786673,no_market,,,,0.1275,,2.1677852,,0.26,,7736750,,,0.808,,,,1577750400,0.08879,,-0.033,,0.107150316,290.84158,0.7414,1640908800,1585612800,,,2043430,1694348288,,,,,,1.757,,,,,,,,https://logo.clearbit.com/contextvision.com,46,,,,,,
EIOF,5443,Energy,"Eidesvik Offshore ASA operates as a shipping company. It operates through Seismic, Subsea/Offshore Wind, Platform Supply, and Other segments. The company delivers shipping services to customers who produce seismic data; subsea inspection, maintenance, repair, and construction services for subsea work in the oil industry; and shipping services the offshore oil industry. It operates 6 large supply and one smaller supply vessels; a fleet of 4 vessels related to seismic; and a fleet of 4 vessels related to subsea/wind. The company is headquartered in BÃ¸mlo, Norway. Eidesvik Offshore ASA is a subsidiary of Eidesvik Invest AS.",Bomlo,47 53 44 80 00,Norway,[],http://www.eidesvik.no,1,Vestvikveien 1,,Oil & Gas Equipment & Services,3.28,3.24,4.0855393,,0,,3.26,,5229,,3.28,3.3541176,,3.24,,5229,,,,,1400198400,0.780232,,,3.2,4,NOK,,5634,,,,198880000,,,14949,0.32408297,3.2,3.2,,182600,5634,6.12,-0.69869,,,3.08,3.18,False,,1000000,3.26,OSL,EIDESVIK OFFSHORE,Eidesvik Offshore ASA,Europe/Oslo,CEST,False,7200000,EQUITY,EIOF.OL,finmb_22071229,no_market,,3.55,,-1.10569,13.018,-0.39781022,,,,62150000,,,10.307,,,,1577750400,0.05849,-678529984,-10.921,,0.107150316,0.3104686,0.7988,1640908800,1585612800,,,12191344,2178586880,,,,,,,,,,,,,,https://logo.clearbit.com/eidesvik.no,514,,,,,,
DNO,0250,Energy,"DNO ASA engages in the exploration, development, and production of oil and gas assets in the Middle East and the North Sea. Its flagship project is the Tawke field that is located in the Kurdistan region of Iraq. As of December 31, 2019, its proven reserves consisted of 205.6 million barrels of oil equivalent (MMboe); proven and probable reserves included 344.8 MMboe; and proven, probable, and possible reserves consisted of 539.9 MMboe. The company was founded in 1971 and is headquartered in Oslo, Norway.",Oslo,47 23 23 84 80,Norway,[],http://www.dno.no,1,Dokkveien 1,47 23 23 84 81,Oil & Gas E&P,5.524,5.61,5.9929,0.0079652425,,,5.86,,4398831,,5.524,6.065,0.044,5.61,,4398831,,,,0.4,1571961600,1.921511,,,5.566,2,NOK,,3480103,,,,5606789120,,,8932779,5.7629657,5.566,5.754,,728400,3480103,14.755,17.418182,,,2.5,5.748,False,0.0688,162000,5.86,OSL,DNO ASA,DNO ASA,Europe/Oslo,CEST,False,7200000,EQUITY,DNO.OL,finmb_878127,no_market,,6.188,,-0.01747,13.361,-0.58065677,,0.33,,975433024,,,1.002,,,,1577750400,0.14917,-17000000,-0.019,,0.107150316,5.7365274,0.40448,1640908800,1585612800,,,537248428,6020549120,,1150416000,4:1,,,,,,,,,,,https://logo.clearbit.com/dno.no,1318,Aker Brygge,,,,,
DOF,5392,Energy,"DOF ASA, together with its subsidiaries, owns and operates a fleet of offshore vessels worldwide. The company operates through three segments: Platform Supply Vessel (PSV), Anchor Handling Tug Supply Vessel (AHTS), and Subsea Vessel and Subsea Engineering. It operates a fleet of PSVs that are used to transport oilfield products and supplies to offshore drilling and production facilities; AHTS used to set anchors for drilling rigs, and tow mobile drilling rigs and equipment from one location to another; and subsea vessels used for a range of subsea services. The company also provides subsea services comprising project management, engineering, construction and installation, life-of-field, decommissioning/field abandonment, and survey and positioning, as well as inspection, repair, and maintenance services. In addition, it offers marine management services, such as crewing, chartering, mobilization, maintenance, refurbishment, projects and new building, and compliance services. As of December 31, 2019, the company operated a fleet of 67 vessels, including 16 PSVs, 20 AHTSs, and 31 subsea/construction vessels, as well as 72 remote operated vehicles and 2 autonomous underwater vehicles. It operates in Brazil, the United Kingdom, Australia, Norway, Canada, the United States, Guyana, the Philippines, Angola, Argentina, and internationally. The company was founded in 1981 and is headquartered in StorebÃ¸, Norway.",Storebo,47 56 18 10 00,Norway,[],http://www.dof.no,1,Alfabygget,47 56 18 10 06,Oil & Gas Equipment & Services,0.589,0.599,0.90570503,,0,,0.599,,237322,,0.589,0.5970294,,0.599,,237322,,,,,1242432000,1.961627,,,0.571,4,NOK,,106003,,,,181580160,,,704050,0.027404191,0.571,0.59,,4700000,106003,3.505,0.6941176,,,0.5,0.58,False,,1357000,0.599,OSL,DOF ASA,DOF ASA,Europe/Oslo,CEST,False,7200000,EQUITY,DOF.OL,finmb_884333,no_market,,2.975,,-0.97329,10.205,-0.82819384,,0.85,,307763008,,,-1.283,,,,1577750400,0.04079,-6448999936,-20.38,,0.107150316,,0.57965,1640908800,1585612800,,,110942327,19715272704,,1527206400,1:10,,,,,,,,,,,https://logo.clearbit.com/dof.no,3440,,,,,,
BWE,0277,Energy,"BW Energy Limited engages in the acquisition, exploration, development, and production of oil and natural gas in Africa. It primarily holds interests in three hydrocarbon licenses in Gabon, Brazil, and Namibia. The company was founded in 2016 and is based in Oslo, Norway.",Oslo,47 23 13 00 00,Norway,[],http://www.bwenergy.no,1,Drammensveien 151,47 23 13 00 01,Oil & Gas E&P,17,17,14.797661,,0,,17.32,,118156,,17,17.857882,,17,,118156,,,,,,,,,16.99,2,NOK,55.016182,59793,,,,3983168000,,,502266,14.104703,16.99,17.11,,,59793,25,,,,7.62,16.96,False,,,17.32,OSL,BW ENERGY LIMITED,BW Energy Limited,Europe/Oslo,CEST,False,7200000,EQUITY,BWE.OL,finmb_144579252,no_market,,11.986,,0.20538001,20.998,-0.2753623,,,,234304000,,,1.938,,,,1577750400,0.100880004,58000000,0.309,,0.107150316,8.77193,0.7214,1640908800,1585612800,,,56150662,3384800000,,,,,,,,,,,,,,https://logo.clearbit.com/bwenergy.no,100,,,,,,
EAM,0287,Utilities,"EAM Solar ASA acquires, owns, and operates solar power plants in Europe. The company sells electricity under long-term fixed price sales contracts. It owns and operates four power plants with a combined installed capacity of 4.0 MW in Italy. The company was founded in 2011 and is based in Oslo, Norway.",Oslo,47 91 61 10 09,Norway,[],http://www.eamsolar.no,1,Dronningen 1,,Utilities—Renewable,12.5,12.45,12.563957,0.00088,0,,12.65,,9028,,12.5,13.70147,0.011,12.45,,9028,,,,,1399852800,0.667441,,,12.4,2,NOK,,3327,,,,86680456,,,13322,,12.4,12.65,,94600,3327,30.1,,,,6.66,12.4,False,,280300,12.65,OSL,EAM SOLAR ASA,EAM Solar ASA,Europe/Oslo,CEST,False,7200000,EQUITY,EAM.OL,finmb_142079547,no_market,,,,0.89206004,,-0.55244756,,,,6852210,,,,,,,1577750400,0.28467,,,,0.107150316,,0.42780998,1640908800,1585612800,,,4010941,85652624,,,,,,,,,,,,,,https://logo.clearbit.com/eamsolar.no,,,,,,,
CLOUD-ME,0273,Utilities,"Cloudberry Clean Energy AS operates as a renewable energy company. The company owns, develops, and operates hydropower plants and wind farms in Norway and Sweden. Cloudberry Clean Energy AS was founded in 2017 and is headquartered in Oslo, Norway.",Oslo,,Norway,[],http://www.cloudberry.no,1,FrOeyas Gate 15,,Utilities—Renewable,11.5,11.498,12.967012,,0,,11.698,,136026,,11.5,13.179412,,11.498,,136026,,,,,,,,,11.1,2,NOK,,71622,,,,,,,70738,,11.1,11.65,,,71622,19,,,,10.54,11.36,False,,,11.698,OSL,CLOUDBERRY CLEAN,Cloudberry Clean Energy AS,Europe/Oslo,CEST,False,7200000,EQUITY,CLOUD-ME.OL,finmb_657338383,no_market,,1583.735,,0,-169.788,-0.20789438,,,,,,,1.271,,,,1577750400,,-2609160,-0.687,,0.107150316,8.933124,,1640908800,,,,14542165,442525728,,,,,,,,,,,,,,https://logo.clearbit.com/cloudberry.no,,,,,,,
BON,0152,Industrials,"Bonheur ASA, together with its subsidiaries, engages in the renewable energy, shipping/offshore wind, and cruise businesses primarily in Norway and internationally. The company's Renewable Energy segment develops, constructs, and operates wind farms with an installed capacity of 679 MW. Its Shipping/Offshore Wind segment owns and operates three self-propelled jack-up vessels for the transportation, installation, and service of offshore wind turbines. The company's Cruise segment owns and operates four cruise ships with an overall berth capacity of approximately 3,700 passengers, as well as operates river cruise vessel. Its Other Investments segment offers publications; PR software services; and software as a service-based Web and social monitoring solutions for small and medium businesses to leverage and understand online data. Bonheur ASA was incorporated in 1897 and is headquartered in Oslo, Norway.",Oslo,47 22 34 10 00,Norway,[],http://www.bonheur.no,1,Fred. Olsens gate 2,,Conglomerates,211.5,211.5,197.89064,0.02033097,,,214.5,,18834,,211.5,225.60294,4.3,211.5,,18834,,,,4.3,1590624000,0.888372,,,211.5,2,NOK,,7534,,,,9038028800,,,50983,1.2288666,211.5,213,,50900,7534,244.5,,,2.75,134,212,False,0.020299999,100000,214.5,OSL,BONHEUR ASA,Bonheur ASA,Europe/Oslo,CEST,False,7200000,EQUITY,BON.OL,finmb_878177,no_market,,1.845,,-0.0892,16.445,0.1966759,,,,42531900,,,142.862,,,,1577750400,0.23837,-656028032,-15.424,,0.107150316,1.4874494,0.53275,1640908800,1593475200,,,19852186,13570095104,,1149120000,4:1,,,,,,,,,,,https://logo.clearbit.com/bonheur.no,3935,,,,,,
EMGS,7041,Energy,"Electromagnetic Geoservices ASA, together with its subsidiaries, provides electromagnetic (EM) surveying services to the offshore oil and gas exploration industry. It is involved in the planning, acquisition, processing, modelling, interpretation, and integration of EM data. The company uses its patented electromagnetic survey method to find hydrocarbons in offshore reservoirs. Its products and services include imaging and interpretation, consultancy, magnetotelluric survey, training, and controlled-source electromagnetic surveying services. Electromagnetic Geoservices ASA has operations in Europe, the Middle East, Africa, Norway, North and South America, Asia, and the Pacific Ocean. The company was founded in 2002 and is headquartered in Trondheim, Norway.",Trondheim,,Norway,[],http://www.emgs.com,1,Stiklestadveien 1,,Oil & Gas Equipment & Services,0.739,0.703,1.0255395,,0,,0.729,,174051,,0.739,0.8094706,,0.703,,174051,,,,,,2.641279,,,0.7,4,NOK,8.768292,42689,,,,94167424,,,540421,1.0790107,0.7,0.719,,,42689,2.85,,,,0.5,0.708,False,,,0.729,OSL,ELECTROMAGNETIC GE,Electromagnetic Geoservices ASA,Europe/Oslo,CEST,False,7200000,EQUITY,EMGS.OL,finmb_10654493,no_market,,1.453,,0.13095,3.371,-0.7062992,,,,130970000,,,0.049,,,,1577750400,0.01382,11428000,0.082,,0.107150316,14.67347,0.59531,1640908800,1585612800,,,54838319,126836600,,1467331200,1:40,,,,,,,,,,,https://logo.clearbit.com/emgs.com,131,,,,,,
BMA,4701,Industrials,"Byggma ASA manufactures and supplies building materials to builders and retailers in the Nordic countries. It offers pre-painted ceilings and wall panels under the Huntonit brand name; I-beams for use in ceilings, walls, and floors in wood-based buildings under the brand name of Masonite; and particle boards, boards, and structural panels for use in buildings, pre painted ceilings, and wall panels under the Forestia brand name. The company also provides home lighting products under the Scan Lamps brand name; doors and windows for new buildings, extensions, or rehabilitation under the brand name of Uldal; a range of lamp and lighting products under the Aneta brand name; and develops, manufactures and distributes MDF panels for walls, ceilings, bathrooms, and kitchens under the brand name of Smartpanel. The company is headquartered in Vennesla, Norway.",Vennesla,47 38 13 71 00,Norway,[],http://www.byggma.no,1,Venneslaveien 233,,Building Products & Equipment,107,107,90.15468,0.009345794,0.1558,,107,,489,,107,97.98529,1,107,,489,,,,1,1590624000,0.569186,,,102,2,NOK,15.98746,160,,,,712156864,,,1540,0.38359442,102,107,,170100,160,107,,,3.08,66,101,False,0.0093,38900,107,OSL,BYGGMA ASA,Byggma ASA,Europe/Oslo,CEST,False,7200000,EQUITY,BMA.OL,finmb_9391774,no_market,,0.55,,0.024,6.488,0.13978493,,,,6981930,,,127.596,,,,1577750400,0.0602,44549000,6.38,,0.107150316,0.7993981,0.94914,1640908800,1585612800,,,325966,1021281024,,,,,,-0.177,,,,,,,,https://logo.clearbit.com/byggma.no,,Postboks 21,,,,,
CRAYON,0484,Technology,"Crayon Group Holding ASA, together with its subsidiaries, operates as an IT advisory company in software and digital transformation services. It operates through Software & Cloud Direct, Software & Cloud Channel, Software & Cloud Economics, and Consulting segments. The company offers license management and consultancy services; SAM as a Service, a single hosted managed service that enables its clients to control software and technology assets across their IT environment; and SAM-iQ, which provides a centralized program interface that allows its customers to analyze, review, and manage their SAM environment. It also provides software and cloud economic services, including license management and solutions across large and mid-market enterprises, public sector, and cloud and service provider markets, as well as deployment planning services. In addition, the company offers consulting services in the areas of cloud architecture and deployment solutions, licensing environment optimization and management, security, datacenter systems, infrastructure and networking, backup and data recovery, servers environments, and storage and virtualization solutions; and managed services, such as outsourced license lifecycle management, project management, audit simulation and support, and infrastructure management and support services. Further, it provides training, events, and development programs for IT professionals. It has operations in the Nordics, Europe, the Asia-Pacific, the Middle East and Africa, and the United States. The company is headquartered in Oslo, Norway.",Oslo,47 22 89 10 00,Norway,[],http://www.crayon.com,1,Sandakerveien 114A,,Information Technology Services,69.8,70,58.217987,,0,,71,,80831,,69.8,65.28236,,70,,80831,,,,,,1.336118,,,70,2,NOK,,40694,,,,5754627072,,,205131,0.37902686,70,71,,0,40694,74.6,66.26168,,,27.6,70.9,False,,0,71,OSL,CRAYON GROUP HLD,Crayon Group Holding ASA,Europe/Oslo,CEST,False,7200000,EQUITY,CRAYON.OL,finmb_46100086,no_market,,0.363,,-0.00343,31.75,1.1148038,,1.07,,81165400,,,8.798,,,,1577750400,0.21603,-52075000,-0.691,,0.107150316,8.05865,0.60696,1640908800,1585612800,,,34221159,5509518336,,,,,,,,,,,,,,https://logo.clearbit.com/crayon.com,1500,,,,,,
BOUVET,0369,Technology,"Bouvet ASA provides information technology, digital communication, and enterprise management services in Norway, Sweden, and internationally. The company designs, develops, and provides advisory services on IT solutions and digital communication. Bouvet ASA was founded in 2002 and is based in Oslo, Norway.",Oslo,47 23 40 60 00,Norway,[],http://www.bouvet.no,1,Sorkedalsveien 8,,Information Technology Services,526,520,434.31656,0.01568441,0.7019,,528,,2823,,526,511.58823,8.25,520,,2823,,,,8.25,1590105600,0.73372,,,520,2,NOK,28.2861,1070,,,,5370633216,,,8753,2.4312983,520,524,,166400,1070,556,37.86127,,4.17,277,522,False,0.015700001,27300,528,OSL,BOUVET ASA,Bouvet ASA,Europe/Oslo,CEST,False,7200000,EQUITY,BOUVET.OL,finmb_34102981,no_market,,2.375,,0.08663999,20.499,0.6932907,,13.84,,10249300,,,37.632,,,,1577750400,0.31916,191378000,18.525,,0.107150316,13.924319,0.29916,1640908800,1585612800,,,7590394,5246356480,,,,,,0.21,,,,,,,,https://logo.clearbit.com/bouvet.no,1575,,,,,,
BWLPG,117438,Industrials,"BW LPG Limited, an investment holding company, engages in shipowning and chartering activities worldwide. It operates through three segments: Very Large Gas Carriers (VLGCs), Large Gas Carriers (LGCs), and Product Services. The company is involved in the transportation of liquefied petroleum gas to oil companies, and trading and utility companies; and product trading and delivery activities. As of February 28, 2020, it had a fleet of 47 vessels, including 35 owned VLGCs, 10 chartered VLGCs, and 2 owned and operated VLGCs by a joint venture with a total carrying capacity of approximately 3 million cubic meters. The company was formerly known as BW Gas LPG Holding Limited and changed its name to BW LPG Limited in September 2013. BW LPG Limited was founded in 1935 and is headquartered in Singapore.",Singapore,65 6705 5588,Singapore,[],http://www.bwlpg.com,1,10 Pasir Panjang Road,65 6570 6056,Marine Shipping,37.18,37.58,41.73626,0.028240988,0.3116,,38.28,,824556,,37.18,31.587646,1.05,37.58,,824556,,,,10.16,1591056000,1.538953,,,37.34,2,NOK,13.864221,381391,,,,5217304064,,,910154,5.4946055,37.34,37.8,,406100,381391,85,179.90475,,,26,37.78,False,0.2658,63000,38.28,OSL,BW LPG LTD,BW LPG Limited,Europe/Oslo,CEST,False,7200000,EQUITY,BWLPG.OL,finmb_246740269,no_market,,6.577,,0.39815,13.705,-0.0036477447,,0.21,,138096992,,,8.358,,,,1577750400,0.31128,378060000,2.725,,0.107150316,4.5202203,0.45400003,1640908800,1585612800,,,70321032,6244600320,,,,,,,,,,,,,,https://logo.clearbit.com/bwlpg.com,2004,"No. 17-02, Mapletree Business City",,,,,
DNB,0191,Financial Services,"DNB ASA provides various banking products and services for retail and corporate customers in Norway and internationally. The company offers savings and investment products, including saving accounts, home savings products, equities, retirement savings, fixed rate deposits, exchange traded products, bonds and commercial papers, and asset management services; and loans, such as home mortgages, car and consumer loans, trade finance, and export financing, as well as overdraft facilities, bank guarantees, and leasing and factoring services. It also provides various cards; a range of insurance products comprising car, boat, motor vehicle, household contents, home, holiday home, travel, and life insurance products, as well as pet insurance for cats and dogs; and pension plans. In addition, the company offers investment banking advisory and financing services, such as mergers and acquisitions, and equity and debt capital markets for corporations and private equity firms; and foreign exchange and treasury, cash management, research, commodities, equities, corporate finance, interest rates, securities, real estate broking, and internet and mobile banking services. It offers its products and services to various sectors, including energy; financial institutions; healthcare; manufacturing; packaging and forest products; seafood; shipping, offshore, and logistics; and telecom, media, and technology. The company distributes its products and services through its branches, in-store postal and banking outlets, and post office counters. DNB ASA was founded in 1822 and is headquartered in Oslo, Norway.",Oslo,,Norway,[],http://www.dnb.no,1,Dronning Eufemias gate 30,,Banks—Regional,137.15,139.3,135.92957,0.065621585,0,,140.6,,1714203,,137.15,135.76912,9,139.3,,1714203,,,,,1588118400,0.961046,,,138.35,2,NOK,11.149159,543198,,,,217051807744,,,3156350,4.444322,138.35,140.1,,246400,543198,178.1,9.408602,,,94.26,139.95,False,,327700,140.6,OSL,DNB ASA,DNB ASA,Europe/Oslo,CEST,False,7200000,EQUITY,DNB.OL,finmb_9778651,no_market,,19.683,,0.43046,,-0.09172255,,14.88,,1550370048,,,154.097,,,,1577750400,0.37327,19740000256,12.557,,0.107150316,0.9085187,0.42226002,1640908800,1593475200,,,889201447,961273004032,,,,,,-0.182,,,,,,,,https://logo.clearbit.com/dnb.no,9020,Bjorvika,,,,,
BRG,1701,Basic Materials,"Borregaard ASA develops, produces, and sells biomaterials, biochemicals, and fine chemicals in Norway, rest of Europe, the United States, Asia, and internationally. It operates through three segments: BioSolutions, BioMaterials, and Fine Chemicals. The BioSolutions segment provides biopolymers that are used as binding and dispersing agents for a range of applications, such as construction, industrial binders, agrochemicals, and batteries; and biovanillin for flavor and fragrance companies, as well as for the food and beverage industry. This segment also engages in chemicals trading activities. The BioMaterials segment offers specialty cellulose for use as a raw material in the production of cellulose ethers, cellulose acetate, and other specialty products, as well as provides cellulose fibrils for industrial applications. The Fine Chemicals segment provides pharma intermediates and bioethanol. Borregaard ASA was incorporated in 2012 and is headquartered in Sarpsborg, Norway.",Sarpsborg,47 69 11 80 00,Norway,[],http://www.borregaard.com,1,Hjalmar Wessels vei 6,47 69 11 87 70,Specialty Chemicals,117.6,117.6,98.27878,0.019557822,0.6183,,120.8,,106730,,117.6,105.90294,2.3,117.6,,106730,,,,2.3,1592265600,-0.049418,,,117.6,2,NOK,32.349785,30716,,,,12010939392,,,87505,2.3084643,117.6,120.8,,721000,30716,123,22.542057,,,75,120.8,False,0.0196,391200,120.8,OSL,BORREGAARD ASA,Borregaard ASA,Europe/Oslo,CEST,False,7200000,EQUITY,BRG.OL,finmb_216329283,no_market,,2.693,,0.0715,13.927,0.29148936,,5.35,,99593200,,,29.38,,,,1577750400,0.56839,372000000,3.728,,0.107150316,4.104833,0.07204,1640908800,1593475200,,,91484295,14010157056,,,,,,-0.172,,,,,,,,https://logo.clearbit.com/borregaard.com,1103,PO Box 162,,,,,
ELE,0250,Basic Materials,"Element ASAengages  acquisition and development of mineral resources. It holds interests in the nickel-cobalt-mineralized areas on the island of Mindoro in the Philippines. The company's main assets are currently the Mindoro Nickel Project, PALCapital Ventures. The company was formerly known as Intex Resources ASA and changed its name to Element ASA in October 2017. Element ASA was incorporated in 1996 and is headquartered in Oslo, Norway.",Oslo,47 23 08 23 08,Norway,[],http://www.elementasa.com,1,Grundingen 2,,Other Industrial Metals & Mining,5.18,5.1,4.5456257,,0,,5.29,,279588,,5.18,5.747353,,5.1,,279588,,,,,,3.873255,,,5.09,2,NOK,,97535,,,,97332944,,,862955,623.92914,5.09,5.15,,0,97535,9.5,,,,1.199,5.07,False,,0,5.29,OSL,ELEMENT ASA,Element ASA,Europe/Oslo,CEST,False,7200000,EQUITY,ELE.OL,finmb_22929109,no_market,,705.038,,0,-37.78,2.6024017,,,,18899600,,,0.229,,,,1577750400,0.00629,-5625000,-0.457,,0.107150316,22.489082,0.28688,1640908800,1585612800,,,11864880,109986000,,1556150400,1:20,,,,,,,,,,,https://logo.clearbit.com/elementasa.com,2,,,,,,
