ticker,name,sector,last_,buy,sell,tradecount,info,marketcap,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr,bookValue,enterpriseValue,trailingEps,forwardEps,priceToBook,beta,profitMargins
TRE,Treasure,Industrials,14.45,14.1,14.45,57,,3140.49,0.0,0.07429999999999999,0.0704,0.05860000000000001,0.1002,2.909,3142764032.0,0.7829999999999999,,4.967343,0.8434870000000001,12.562961
TYSB-ME,Tysnes Sparebank,Equity certificates,118.0,114.0,118.0,0,LP,179.02,,,-0.0328,-0.0328,0.1055,,,,,,,
ULTIMO,Ultimovacs,Health care,55.8,55.6,55.8,131,,1554.61,0.0333,-0.0176,0.4308,0.4235,,16.77,1146019328.0,-2.4290000000000003,,3.3273702000000003,,0.0
VEI,Veidekke,Industrials,124.7,124.6,124.7,340,,16829.05,-0.0024,0.005600000000000001,0.0374,0.0435,0.4401,28.885,21539213312.0,7.218,8.04,4.3171196,0.22186199999999998,0.025510002
VISTIN,Vistin Pharma,Health care,8.76,8.56,8.98,23,,388.46,-0.0045000000000000005,-0.0759,-0.1577,-0.1577,0.168,9.203,86102624.0,-0.043,1.17,0.9518635,0.612826,-0.00909
VVL,Voss Veksel- og Landmandsbank,Financials,156.0,155.0,158.0,5,LP,343.82,0.0,0.006500000000000001,0.0,0.0,0.2116,268.474,1323572224.0,22.81,18.25,0.58106184,0.175708,0.41081002
VOW,Vow,Industrials,34.4,34.1,34.4,593,LP,3665.79,0.033,0.0393,0.1821,0.1467,5.8263,,,,,,,
WALWIL,Wallenius Wilhelmsen,Industrials,26.26,26.26,26.3,360,,11089.73,0.0054,-0.0317,0.2124,0.2035,-0.0815,6.315,14953672704.0,0.222,0.47,4.1583533,1.6307690000000001,0.02352
WSTEP,Webstep,Information technology,24.0,23.6,24.0,2,,640.16,0.0345,,-0.0323,-0.0083,0.0286,13.687000000000001,651063040.0,1.6,2.26,1.7534887,0.291566,0.06477000599999999
WWI,Wilh. Wilhelmsen Holding ser. A,Industrials,162.0,159.5,165.5,59,,5508.0,0.0318,-0.069,0.0125,-0.0182,0.1114,40.061,8178420224.0,1.508,2.77,4.0438333,1.2178129999999998,0.083730005
WWIB,Wilh. Wilhelmsen Holding ser. B,Industrials,161.0,154.0,165.0,28,,1703.38,0.0094,-0.0501,0.0,-0.0242,0.1273,40.061,8132016640.0,1.508,,4.0188713,1.2178129999999998,0.083730005
WILS,Wilson,Industrials,21.0,20.0,21.0,0,,921.06,,,0.0096,0.0096,0.15130000000000002,2.9989999999999997,921063808.0,0.273,,7.002333999999999,0.879352,0.06379
WRE-ME,WR Entertainment,Communication services,0.75,,,0,,1.3,,,,,,,,,,,,
XXL,XXL,Consumer discretionary,12.36,12.32,12.36,626,,2048.83,0.0098,-0.0728,-0.2337,-0.2621,-0.5699000000000001,27.688000000000002,6586651648.0,0.773,3.04,0.44640276,1.234817,0.011469999
YAR,Yara International,Materials,338.7,338.7,338.8,2847,,91801.46,-0.0096,-0.0236,-0.0821,-0.0726,-0.0165,31.171,96308772864.0,2.039,3.07,10.8658695,0.8364370000000001,0.041950002
ZAL,Zalaris,Industrials,33.0,33.0,33.4,48,,645.76,0.0248,0.1828,0.1957,0.1957,0.2791,4.768,1056129024.0,-0.34700000000000003,1.19,6.9211407000000005,0.895546,-0.01036
ZENA-ME,Zenith Energy,Energy,0.24,0.23,0.24,60,LP,107.92,-0.032400000000000005,-0.0591,0.1435,0.1168,-0.3995,,,,,,,
ZWIPE-ME,Zwipe,Information technology,6.55,6.45,6.55,66,,167.19,0.065,0.0565,0.1593,0.2358,,5.02,14015084.0,-4.9110000000000005,,1.304781,,0.0
