ticker,52WeekChange,SandP52WeekChange,annualHoldingsTurnover,annualReportExpenseRatio,beta,beta3Year,bookValue,category,dateShortInterest,earningsQuarterlyGrowth,enterpriseToEbitda,enterpriseToRevenue,enterpriseValue,fiveYearAverageReturn,floatShares,forwardEps,forwardPE,fundFamily,fundInceptionDate,heldPercentInsiders,heldPercentInstitutions,lastCapGain,lastDividendValue,lastFiscalYearEnd,lastSplitDate,lastSplitFactor,legalType,maxAge,morningStarOverallRating,morningStarRiskRating,mostRecentQuarter,netIncomeToCommon,nextFiscalYearEnd,pegRatio,priceHint,priceToBook,priceToSalesTrailing12Months,profitMargins,revenueQuarterlyGrowth,sharesOutstanding,sharesPercentSharesOut,sharesShort,sharesShortPreviousMonthDate,sharesShortPriorMonth,shortPercentOfFloat,shortRatio,threeYearAverageReturn,totalAssets,trailingEps,yield,ytdReturn
BSP-ME,-0.0830816,0.20719647,,,-11.622199,,11.848,,,,,,117079400,,2090193,,,,-,,,,,1546214400,2019-07-31,1:25,,1,,,1561852800,-5917000,1609372800,,4,0.35449022,,0,,14575300,,,-,,,,,,-2.682,,
REACH,-0.373913,0.20719647,,,0.387044,,1.327,,,-0.483,11.376,0.569,336721696,,56429371,,,,-,,,,,1546214400,2012-12-06,1:20,,1,,,1569801600,-17233000,1609372800,,4,1.0851545,,-0.02913,,143546000,,,-,,,,,,-0.125,,
PHLY,0.43333328,0.20719647,,,0.692307,,7.953,,,,297.289,12.803,536904512,,1484671,,,,-,,,,,1546214400,-,,,1,,,1569801600,-22899000,1609372800,,2,5.4067645,,-0.54603,,12107900,,,-,,,,,,-1.891,,
NOM,-0.19009483,0.20719647,,,1.452631,,1.061,,,,-4.775,,360965568,,144342284,,,,-,,,,,1546214400,2016-12-08,1:6,,1,,,1569801600,18684000,1609372800,,4,2.148916,,0,,197492000,,,-,,,,,,0.142,,
BWLPG,1.4990826,0.20719647,,,1.143319,,7.526,,,,44.302,15,10660009984,,75043507,0.21,,,-,,,,,1546214400,-,,,1,,,1569801600,86150000,1609372800,,2,9.041988,,0.12123,,138618000,,,-,,,,,,0.606,,
QFR,-0.09779614,0.20719647,,,1.031578,,4.511,,,,14.124,0.902,864508736,,68761709,,,,-,,,,,1546214400,-,,,1,,,1569801600,-5638000,1609372800,,2,1.4520062,,-0.00588,,89223400,,,-,,,,,,-0.065,,
THIN,-0.8390625,0.20719647,,,1.850202,,0.452,,,,-3.465,158.721,141896880,,56151986,-0.05,,,-,,,,,1546214400,2019-11-01,1:20,,1,,,1569801600,-62960000,1609372800,,4,4.7013273,,0,,58593600,,,-,,,,,,-1.2,,
EAM,-0.6639535,0.20719647,,,-0.131174,,,,,4.336,,,102097928,,4395556,,,,-,,,,,1546214400,-,,,1,,,1569801600,,1609372800,,2,,,-0.0078,,6852210,,,-,,,,,,,,
REC,-0.22624677,0.20719647,,,1.327125,,0.147,,,,-81.764,8.07,1430862848,,288002942,0,,,-,,,,,1546214400,2019-07-12,1:10,,1,,,1569801600,-89600000,1609372800,,4,30.47619,,-0.50536,,279820000,,,-,,,,,,-0.335,,
ASA-ME,0.52150536,0.20719647,,,0.536499,,3.032,,,,-1239.713,3974.546,10031755264,,39261727,,,,-,,,,,1546214400,-,,,1,,,1561852800,-14807000,1609372800,,2,46.99868,,0,,71276096,,,-,,,,,,-0.234,,
PEN,0.14650452,0.20719647,,,1.348178,,0.855,,,,44.41,27.816,1148140928,,43491850,-0.05,,,-,,,,,1546214400,2016-05-30,1:10,,1,,,1569801600,5661000,1609372800,,2,21.871346,,0.13368,,68799904,,,-,,,,,,0.091,,
AURG,0.10466111,0.20719647,,,,,555.821,,,0.366,,,,,,14.03,,,-,,,,,1577750400,-,,,1,,,1577750400,117240000,1640908800,,2,0.35982808,,0.47265,,2380850,,,-,,,,,,49.243,,
OBSERV,Infinity,0.20719647,,,,,0.805,,,,,,135609056,,,,,,-,,,,,,-,,,1,,,,,,,2,10.808696,,0,,15342700,,,-,,,,,,,,
PLT,1.4390242,0.20719647,,,,,19.955,,,,-8.003,309.95,466164480,,4039109,,,,-,,,,,1546214400,-,,,1,,,1569801600,-58954000,1609372800,,2,3.4327235,,0,,8116590,,,-,,,,,,-7.262,,
GOD,0.5624999,0.20719647,,,0.956275,,10.501,,,,-5.603,0.351,198075008,,10068233,,,,-,,,,,1546214400,2012-05-07,1:10,,1,,,1569801600,-59852000,1609372800,,2,0.7618322,,-0.07706,,22614600,,,-,,,,,,-1.822,,
KVAER,-0.15391016,0.20719647,,,1.182995,,12.641,,,1.057,0.812,0.043,354666656,,155434666,0.69,,,-,,,,,1546214400,-,,,1,,,1569801600,289000000,1609372800,,2,0.8053161,,0.03443,,267906000,,,-,,,,,,1.049,,
TECH,-0.16032612,0.20719647,,,-0.724279,,2.708,,,,39.303,0.472,526619872,,34125273,,,,-,,,,,1546214400,2016-03-11,1:10,,1,,,1569801600,-64878000,1609372800,,4,1.1410635,,-0.0582,,162792992,,,-,,,,,,-0.394,,
ADSC-ME,0.31578946,0.20719647,,,,,,,,,,,,,,,,,-,,,,,,-,,,1,,,,,,,2,,,0,,23390300,,,-,,,,,,,,
JPK-ME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GJF,0.34597468,0.20719647,,,0.391093,,52.425,,,0.13,7.994,2.03,64030609408,,495449040,9.52,,,-,,,,,1577750400,-,,,1,,,1577750400,6556100096,1640908800,,2,3.8683834,,0.20909001,,500000000,,,-,,,,,,13.19,,
NAVA,0.6463753,0.20719647,,,0.430769,,8.438,,,,-77.011,1.092,211231344,,2208855,,,,-,,,,,1546214400,-,,,1,,,1569801600,-1313225,1609372800,,2,2.1154304,,0.00736,,12142700,,,-,,,,,,0.131,,
WILS,-0.054545462,0.20719647,,,0.879352,,2.999,,,-0.143,,,833343488,,3972417,,,,-,,,,,1546214400,-,,,1,,,1569801600,,1609372800,,2,6.9356446,,0.06379,,43860200,,,-,,,,,,0.273,,
NPRO,0.33828986,0.20719647,,,0.245344,,15.938,,,0.578,24.327,19.049,14600883200,,82924164,0.47,,,-,,,,,1546214400,-,,,1,,,1569801600,848899968,1609372800,,2,0.9066382,,1.1075,,493625984,,,-,,,,,,1.542,,
MORG,0.13793099,0.20719647,,,0.100404,,706.774,,,0.348,,19.928,31027191808,,7466887,30.98,,,-,,,,,1577750400,-,,,1,,,1577750400,341000000,1640908800,,2,0.47256973,,0.45665002,,9861700,,,-,,,,,,34.5,,
SCHA,0.28135598,0.20719647,,,0.420242,,45.281,,,-0.288,24.322,4.126,77222723584,,167957918,8.56,,,-,,,,,1546214400,-,,,1,,,1569801600,647000000,1609372800,,2,6.32274,,0.03457,,104790000,,,-,,,,,,2.718,,
SALMON,-0.15529406,0.20719647,,,,,3.142,,,0.486,-771.634,16.449,4831968768,,19800000,,,,-,,,,,1546214400,-,,,1,,,1569801600,43555000,1609372800,,2,23.169956,,0.14827,,66000000,,,-,,,,,,0.66,,
AKVA,0.08235288,0.20719647,,,0.038866,,32.93,,,0.486,11.272,1.124,3536923904,,8181678,5.73,,,-,,,,,1546214400,-,,,1,,,1569801600,118348000,1609372800,,2,2.235044,,0.0376,,33334300,,,-,,,,,,3.56,,
PSE,-0.087499976,0.20719647,,,-0.058299,,0.714,,,,11.933,2.853,168399904,,283251,,,,-,,,,,1546214400,2012-10-24,1:11,,1,,,1561852800,5349000,1609372800,,4,4.089636,,0.09061,,59133800,,,-,,,,,,0.09,,
YAR,-0.01723653,0.20719647,,,0.836437,,31.171,,,-0.245,57.073,7.307,96853581824,,172776821,3.07,,,-,,,,,1546214400,-,,,1,,,1569801600,556000000,1609372800,,2,11.379168,,0.041950002,,271040992,,,-,,,,,,2.039,,
SHLF,-0.48843473,0.20719647,,,0.401473,,4.608,,,,47.57,6.474,3686373888,,40097876,-0.46,,,-,,,,,1546214400,-,,,1,,,1569801600,-129221000,1609372800,,2,4.53559,,-0.22694999,,136276000,,,-,,,,,,-1.06,,
ZAL,0.16666663,0.20719647,,,0.895546,,4.768,,,,24.021,1.348,1030569024,,12359112,1.19,,,-,,,,,1546214400,-,,,1,,,1569801600,-7926000,1609372800,,2,6.6065435,,-0.01036,,19568400,,,-,,,,,,-0.347,,
SOFF,-0.35286105,0.20719647,,,1.892307,,-9.13,,,,39.356,6.202,31326730240,,144972068,-1.01,,,-,,,,,1546214400,-,,,1,,,1569801600,-5104393216,1609372800,,4,,,-1.01052,,291392000,,,-,,,,,,-17.517,,
BAKKA,0.5441263,0.20719647,,,-0.208097,,13.119,,,-0.492,,,32851568640,,41435858,31.33,,,-,,,,,1546214400,-,,,1,,,1569801600,,1609372800,,2,51.29964,,0.15745,,59141500,,,-,,,,,,3.037,,
SBVG,0.10455763,0.20719647,,,0.400809,,81.579,,,-0.119,,8.51,10212943872,,56984308,4.12,,,-,,,,,1546214400,2011-11-07,6:5,,1,,,1569801600,289670016,1609372800,,2,0.50503194,,0.42745999,,63101400,,,-,,,,,,4.591,,
NONG,0.17841077,0.20719647,,,0.28502,,139.183,,,-0.023,,8.086,33420400640,,95234420,6.86,,,-,,,,,1546214400,2011-03-31,4:3,,1,,,1569801600,1008000000,1609372800,,2,0.5683165,,0.52843,,100398000,,,-,,,,,,9.985,,
NAS,-0.4818173,0.20719647,,,0.929554,,38.345,,,0.284,654.72,1.487,65799372800,,95897032,-20.18,,,-,,,,,1546214400,-,,,1,,,1569801600,-2752399872,1609372800,,2,1.0249054,,-0.06222,,163558000,,,-,,,,,,-26.876,,
ASETEK,-0.1659708,0.20719647,,,0.276923,,1.534,,,,466.599,16.862,930398016,,21961472,0.3,131.66666,,-,,,,,1546214400,-,,,1,,,1569801600,1319000,1609372800,203.53,2,25.749674,,0.0239,,25600000,,,-,,,,,,0.05,,
B2H,-0.43654114,0.20719647,,,0.987044,,10.053,,,0.138,,7.253,14999433216,,278327837,2.16,,,-,,,,,1546214400,-,,,1,,,1569801600,173246000,1609372800,,2,0.8201531,,0.08377,,409932992,,,-,,,,,,0.416,,
VVL,0.039473653,0.20719647,,,0.175708,,257.078,,,0.352,,12.833,1397427072,,1982172,18.25,,,-,,,,,1577750400,2014-05-13,20:1,,1,,,1577750400,46752000,1640908800,,2,0.61459947,,0.42935002,,2203960,,,-,,,,,,21.05,,
SCHB,0.36264825,0.20719647,,,0.420242,,45.281,,,-0.288,23.155,3.928,73518014464,,167957918,,,,-,,,,,1546214400,-,,,1,,,1569801600,647000000,1609372800,,2,5.998101,,0.03457,,129382000,,,-,,,,,,2.718,,
IDEX,-0.6820513,0.20719647,,,1.965991,,0.25,,,,-2.559,186.073,639719232,,297678791,-0.27,,,-,,,,,1546214400,2010-03-10,1:3,,1,,,1569801600,-262911008,1609372800,,4,4.864,,0,,717988992,,,-,,,,,,-0.46,,
AWDR,-0.55670106,0.20719647,,,0.974898,,5.093,,,,70.524,16.321,662784320,,15090147,-0.22,,,-,,,,,1546214400,-,,,1,,,1569801600,-27778000,1609372800,,2,2.5721579,,-0.68403,,54581500,,,-,,,,,,-0.543,,
DNO,-0.4153846,0.20719647,,,0.809716,,1.108,,,,15.449,10.023,10679836672,,575701229,0.33,,,-,,,,,1546214400,2006-06-16,4:1,,1,,,1569801600,252900000,1609372800,,2,8.781588,,0.23735,,975433024,,,-,,,,,,0.24,,
KOMP,-0.19874805,0.20719647,,,0.794188,,10.19,,,0.072,,0.955,824254912,,93502746,2.63,,,-,,,,,1546214400,-,,,1,,,1569801600,312453056,1609372800,,2,1.0225712,,0.36507,,184120000,,,-,,,,,,1.659,,
PHO,0.9333334,0.20719647,,,-0.280971,,7.638,,,,-76.796,8.31,1793789568,,16356820,1.25,,,-,,,,,1546214400,-,,,1,,,1569801600,-22678000,1609372800,,2,11.770097,,-0.105059996,,21779800,,,-,,,,,,-1.044,,
OTS,-0.37516272,0.20719647,,,1.434817,,1.786,,,,22.186,10.497,218265920,,8819320,,,,-,,,,,1546214400,2019-11-27,1:23,,1,,,1561852800,470000,1609372800,,4,2.68757,,0.023039998,,34211300,,,-,,,,,,0.015,,
BALT-ME,Infinity,0.20719647,,,1.037151,,31.615,,,,9.947,7.897,521504384,,4003357,,,,-,,,,,1546214400,-,,,1,,,1561852800,-19595392,1609372800,,2,1.0374821,,-0.29674,,6643370,,,-,,,,,,-2.939,,
SVEG,0.33716476,0.20719647,,,0.208906,,188.535,,,0.216,,24.702,101697191936,,52332702,6.32,,,-,,,,,1577750400,2010-05-20,2:1,,1,,,1577750400,504000000,1640908800,,2,0.37022305,,0.50133,,107319000,,,-,,,,,,7.457,,
GENT-ME,Infinity,0.20719647,,,-0.179616,,13.926,,,,-23.931,16.867,743353344,,5851528,,,,-,,,,,1546214400,-,,,1,,,1569801600,-45828352,1609372800,,2,4.423381,,-1.03986,,15402700,,,-,,,,,,-2.977,,
SOAG,0.18269229,0.20719647,,,-0.097165,,278.784,,,-0.062,,7.414,6127525376,,3789148,24.01,,,-,,,,,1546214400,-,,,1,,,1569801600,369286016,1609372800,,2,0.8824036,,0.47734,,12388100,,,-,,,,,,29.804,,
OKEA,Infinity,0.20719647,,,,,16.487,,,,1.884,1.124,2809380352,,24807993,,,,-,,,,,1546214400,-,,,1,,,1569801600,-125510000,1609372800,,2,1.0311154,,-0.048210002,,102064000,,,-,,,,,,-1.532,,
PNOR,Infinity,0.20719647,,,,,138.79,,,,0.002,0.001,96990,,,,,,-,,,,,1546214400,-,,,1,,,,7864000,1609372800,,4,0.0067742635,,0.091639996,,971665024,,,-,,,,,,78.64,,
DNB,0.06404412,0.20719647,,,0.838056,,145.608,,,0.068,,17.964,981827715072,,907773055,14.88,,,-,,,,,1546214400,-,,,1,,,1569801600,25838999552,1609372800,,2,1.1781633,,0.48754,,1569609984,,,-,,,,,,16.074,,
BON,0.8676716,0.20719647,,,0.420242,,140.915,,,,7.406,1.65,12858552320,,19787538,,,,-,,,,,1546214400,2006-06-01,4:1,,1,,,1569801600,-120820000,1609372800,,2,1.5825144,,0.00765,,42531900,,,-,,,,,,1.403,,
JAEREN,0.13768113,0.20719647,,,0.256165,,360.011,,,0.341,,10.623,3579888384,,1005685,14.04,,,-,,,,,1546214400,-,,,1,,,1569801600,74823000,1609372800,,2,0.4360978,,0.41518003,,4932430,,,-,,,,,,14.922,,
PLCS,-0.029059768,0.20719647,,,1.748178,,0.17,,,,13.152,2.909,889498688,,464185744,-0.01,,,-,,,,,1546214400,2017-05-19,1:10,,1,,,1569801600,-9108000,1609372800,,4,6.635294,,-0.029790001,,513787008,,,-,,,,,,-0.018,,
GRONG-ME,0.057142854,0.20719647,,,-0.081177,,234.875,,,0.027,,8.21,1416681728,,1992599,,,,-,,,,,1546214400,-,,,1,,,1569801600,53603000,1609372800,,2,0.47259182,,0.30363,,,,,-,,,,,,18.033,,
AMSC,0.02208209,0.20719647,,,0.319028,,2.739,,,0.208,29.095,28.074,2464928256,,44908344,0.37,,,-,,,,,1546214400,-,,,1,,,1569801600,4791000,1609372800,,2,12.1577215,,0.054569997,,60616500,,,-,,,,,,0.079,,
NKR,Infinity,0.20719647,,,-0.200809,,1.699,,,26.565,-4.043,-0.247,-52571748,,47238782,,,,-,,,,,1546214400,-,,,1,,,1569801600,-13343000,1609372800,,4,1.2831078,,0.5348,,105613000,,,-,,,,,,1.125,,
SBO,0.33876598,0.20719647,,,0.652631,,32.977,,,2.238,8.496,2.021,7149646336,,38295884,4.89,,,-,,,,,1546214400,-,,,1,,,1569801600,739195008,1609372800,,2,1.7375746,,0.20899001,,92928600,,,-,,,,,,7.957,,
POL,0.52755904,0.20719647,,,0.136032,,47.868,,,8.854,29.296,1.103,2225490688,,10751434,,,,-,,,,,1546214400,-,,,1,,,1569801600,173060992,1609372800,,2,0.772959,,0.0858,,48763400,,,-,,,,,,3.359,,
NHY,-0.211308,0.20719647,,,0.686639,,39.197,,,,9.426,0.515,78639677440,,1338163200,3.72,,,-,,,,,1546214400,2006-05-10,5:1,,1,,,1569801600,-2028000000,1609372800,,2,0.7998061,,-0.01328,,2048000000,,,-,,,,,,-0.991,,
NSKOG,Infinity,0.20719647,,,,,68.473,,,0.012,2.246,0.339,4312875008,,30338550,,,,-,,,,,1546214400,-,,,1,,,1569801600,2511000064,1609372800,,2,0.62287325,,0.1975,,82500000,,,-,,,,,,30.435,,
HAFNIA,Infinity,0.20719647,,,,,2.922,,,,141.546,25.143,9262612480,,,,,,-,,,,,1546214400,-,,,1,,,1569801600,-19781000,1609372800,,2,7.770363,,-0.0537,,,,,-,,,,,,-0.161,,
ARCHER,-0.408,0.20719647,,,3.076923,,0.656,,,,11.351,1.3,1090848768,,103891411,0.06,,,-,,,,,1546214400,2015-09-28,1:10,,1,,,1569801600,-108500000,1609372800,,4,4.6646338,,-0.12929,,148032000,,,-,,,,,,-0.74,,
GYL,0.19047618,0.20719647,,,0.029149,,302.201,,,,10.95,0.749,1496261888,,151232,,,,-,,,,,1546214400,-,,,1,,,1561852800,51215000,1609372800,,2,1.4890752,,0.02564,,2307130,,,-,,,,,,22.198,,
HIDDN,-0.89399695,0.20719647,,,2.354187,,-0.402,,,,-0.213,0.451,9094161,,2527527,,,,-,,,,,1546214400,2019-09-17,1:20,,1,,,1561852800,-56525000,1609372800,,4,,,-2.19189,,31078900,,,-,,,,,,-9.214,,
SOFTOX-ME,-0.14666665,0.20719647,,,,,3.726,,,,-6.228,23.254,124549200,,2630991,,,,-,,,,,1546214400,2018-07-02,50:1,,1,,,1569801600,-16884776,1609372800,,2,6.9779925,,0,,7751000,,,-,,,,,,-3.65,,
SBX,-0.651084,0.20719647,,,3.029149,,0.109,,,,-115.501,6.231,276046816,,424047383,-0.01,,,-,,,,,1546214400,2018-08-28,1:10,,1,,,1569801600,-15699000,1609372800,,4,4.8440366,,-0.35437,,538931008,,,-,,,,,,-0.041,,
MULTI,0.24333334,0.20719647,,,0.391891,,21.938,,,,21.499,0.939,3233284608,,19330878,5.33,,,-,,,,,1546214400,-,,,1,,,1569801600,46637000,1609372800,,2,3.3457928,,0.01354,,26939100,,,-,,,,,,1.729,,
ALNG,-0.39285713,0.20719647,,,0.486639,,0.774,,,,73.582,17.999,558338752,,40949568,0.11,,,-,,,,,1546214400,-,,,1,,,1569801600,-14155000,1609372800,,4,3.1524549,,-0.45630002,,132549000,,,-,,,,,,-0.11,,
